time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	292.684003	0	-190.920223	-190.920218	728.926294	-168.274924	1479.55535	309149.26
2	300.786371	0	-243.046628	-53.2877715	67425.2859	3407.82895	15083127.4	-139.136624
4	290.512697	0	-236.607358	-174.812806	153.994295	1.29324079	330945.948	-132.697354
6	294.057759	0	-167.673644	2696.21821	33376.4806	15830.7032	1343873.57	-63.7636405
8	294.289436	0	-241.317427	111554.751	17181415.6	463978.221	120859.655	-137.407423
10	298.478993	0	-230.04206	-123.747795	132900.668	1086.51069	421495438.0	-126.132056
12	297.196209	0	-225.366787	-64.418711	92087079.1	36939.0378	59388771.4	-121.456783
14	293.668432	0	-287.463442	540.887798	7211.3133	37676.5466	6701043730.0	-183.553439
16	301.448223	0	-222.594079	8171.09536	10036.5685	8235.86675	52161.0472	-118.684075
18	295.060503	0	-174.273644	269451.205	-205.751995	-165.887182	5228.4888	215027.46
20	297.827021	0	-255.996809	-144.802097	2527.76326	1063.20114	402054.612	-152.086805
22	297.397195	0	-271.654973	-95.9259622	17589679.3	1221143.31	2897646.85	-167.744969
24	295.871742	0	-214.176321	107.070944	-14.5204842	-132.997463	787.96121	-110.266318
26	295.589133	0	-199.910016	6021.9263	17460.3214	4320.12242	1870705.29	-96.0000126
28	296.021154	0	-222.00775	1783228.07	988.466454	1571.9662	34659.5717	-118.097746
30	300.119102	0	-238.681444	7449.00627	37868994.0	52378.0742	1080743340.0	-134.77144
32	297.478078	0	-256.660084	766.12047	18431.2091	4440.08139	21464.7821	-152.750081
34	298.803237	0	-188.994165	4733.74874	5442.50755	3919.95521	19906968.2	-85.0841616
36	303.028016	0	-147.838078	-147.83803	-144.165065	-130.620201	195.946488	129712636000000.0
38	297.166805	0	-170.749025	1970.22217	612287.376	335173.912	67532.3255	-66.8390211
40	298.445701	0	-217.395851	448.295976	167442.826	2271.47867	308709.635	-113.485847
42	296.558908	0	-242.624631	124583.323	546233.777	56057.7455	7815483.62	-138.714627
44	298.811337	0	-257.270643	142206.199	706601.887	6203.82193	18883054.7	-153.36064
