time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	301.418987	0	-2006.87152	-2006.87152	-1738.00275	-1885.71068	3493.64485	-2023.06815	-614.269728	-875.994419
2	295.312954	0	-1962.16157	183723.854	-2055.43157	-877.64184	13094.092	40901.1964	41116.8495	-1384.89526
4	299.777005	0	-1928.04574	-153.86614	61780.9486	2673.77829	5230438.41	-2172.45574	13801.2521	1.0220832
6	298.138838	0	-1908.71577	5514.30488	-1308.76086	4397.02681	1158278.15	-2153.12578	1834246350.0	4488715.21
8	300.061493	0	-1888.12993	-782.894317	-1504.82785	-703.925996	-56.8156084	-499.562028	3864.2562	-1751.92994
10	296.811638	0	-1851.05694	19062.0272	409.337242	-1532.55439	7037.37663	-703.689665	44491.1571	-1714.85694
12	295.324719	0	-1976.67301	3487.14775	31570.4738	-1989.19301	248428.037	533670.081	661971248.0	-558.199417
14	294.852273	0	-1935.43419	635732.035	-2028.70419	-1590.09807	139901.995	341950.262	44131677.0	-717.978512
16	295.791098	0	-1913.79445	-45.5024428	-1295.55597	-1703.45416	-690.528692	-1760.58909	957.214055	-1777.59445
18	296.33846	0	-1967.70655	1086838.82	109152.049	51710.8538	1667007060.0	-2212.11656	1428287.18	1611.53942
20	299.345615	0	-1864.58171	330966.546	1425.44411	426353.84	-493.498382	-1570.68007	415719342.0	-1728.38172
22	295.881839	0	-1924.4855	3021009.44	-2017.7555	-1335.48622	1103.44811	262457.79	34592292.0	6117.524
24	292.135555	0	-1923.67497	930924.241	21787.0954	241736.268	82673435.5	225448705.0	802077.993	-1787.47497
26	298.069219	0	-2001.52387	24974.222	-2094.79387	-1705.79984	-805.264278	-738.482055	102546523000.0	5918.56292
28	302.684885	0	-1947.43298	-1745.88825	-2040.70297	548.736916	1093702.15	-1827.43301	716.139383	863.714202
30	301.806944	0	-1909.97941	46152.0296	1760.56511	-1922.49941	1122025.31	1870.26135	139705.291	72867.8812
32	295.085859	0	-1910.94164	271705.891	-2004.21164	-556.133385	24094243.6	2493.03838	25469934200.0	8757.63407
34	301.876466	0	-1943.59104	-1052.77322	-1716.16797	-1744.21471	2580.78551	-2188.00104	5721379.38	12501.4016
36	295.734544	0	-1988.06197	48.4752406	-2025.94617	-2000.58197	151063.57	4834.82227	15920.6166	4015.53202
38	296.624703	0	-1947.87553	1834.97727	-2041.14553	-1122.77989	453.942142	-959.008215	1090.53394	797.537603
40	299.423633	0	-1918.33445	82373.4376	261773512000000.0	109021.612	-1824.31445	71683509.3	14838410.1	6405.36478
42	295.145356	0	-1881.3156	-1881.3156	1861.30375	-394.414639	63274.2744	-1055.70822	48932942.3	741463.72
44	296.049444	0	-1923.25833	4408122.89	20793.001	-1935.77833	3820848.31	46051.3802	179535.705	47541030.2
46	300.57444	0	-1889.87378	-1889.87378	-1748.47061	-37.2308246	289581918.0	21716.8521	12679101.5	1404.19251
48	301.604949	0	-1886.9948	-1111.60905	-1672.8227	-1899.5148	1511.45281	-1457.53499	142514.812	100436683.0
50	297.589139	0	-1911.51517	-1911.51517	-476.067855	2494.68687	44760.9604	60118680.4	3262.47731	2329.4811
52	298.425988	0	-1958.64937	-1631.00469	-2051.91937	-1819.89855	958217.643	-1285.35482	3270840.32	703.143692
54	298.538401	0	-1916.34413	-531.932286	255308.234	18183.3983	12037060.6	-2160.75414	42938220.1	1457165.58
56	295.012959	0	-1852.04436	-1852.04436	139617.334	-1417.60023	6310.04269	5207.08528	4620.58032	-782.191247
58	297.417974	0	-1931.55782	18902.3268	-2024.82782	-836.09118	107098.528	61826.6228	620009276000.0	831880.159
60	299.83632	0	-1993.16171	-1254.60728	5669.02636	-1350.5737	-1899.14171	-1778.90032	1041099260.0	-606.70985
62	299.836498	0	-1954.08825	-1070.82649	13635.0657	-464.723266	-1860.06825	14182.6939	3265.11589	-189.982255
64	301.151362	0	-1855.51599	-1269.59124	-1457.39164	-1868.03599	6358180500.0	-1173.7978	230391600.0	-147.713249
66	295.784585	0	-1892.87299	72938.9545	-1986.14299	2876.05296	1799517.64	7178.88796	9932272920.0	10722.696
68	297.056579	0	-1927.08904	24272.1999	-2020.35904	1691.47945	452.397434	53655.1555	3744.03974	90880.23
70	302.08768	0	-1880.68928	848.749591	627.224503	-1691.05065	-1786.66928	9391.09514	31033020.9	3120.22518
72	300.221265	0	-1895.28995	-1574.82662	-1787.86512	-825.457292	32110.6937	-2139.69995	14016893000000.0	942.398265
74	298.274296	0	-1822.17501	1512.76768	-758.909983	-883.033462	-1728.15501	2176.80384	835747.388	144312.164
76	297.716166	0	-1964.91559	12757.7201	-866.174274	-1170.35565	-1870.89559	72016.6424	29600265.3	179449442.0
78	296.895808	0	-1875.59401	150655.098	-1968.86401	1841.44104	12143.9546	8372.98886	2960997.46	9391.7407
