time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	298.011347	0	-829.540885	3173.13776	-614.789451	9389.66571	-618.000891	1227.88064	-297.061933	275.469135	2199.71237	59456.511	-348.636334	96.8848112	8419.31396	49461.7291
2	296.728785	0	-836.590035	-697.146428	2428560.17	23816.8035	-625.050042	-584.896026	-497.661623	4068.0145	-582.634776	-433.340562	-590.120498	-730.739195	8024.39311	-733.161817
4	298.887971	0	-886.296164	-785.55427	331976.189	-245.865544	-674.756171	-551.455183	-566.2126	-523.73986	-706.395378	-712.415884	-649.844766	-767.425704	1992.50717	68962.2149
6	302.186224	0	-806.536539	-638.647944	-375.029786	-604.116541	14103.8516	-284.543437	-238.234018	878.99419	-665.588502	2693.32468	-492.464858	-611.183195	33097965900000.0	161.105927
8	295.284216	0	-790.445912	914.110882	5556.72074	25317.2428	-317.163722	3659.06224	-303.674798	179091.648	-622.463075	-465.354273	-685.36591	-658.532075	2413.09339	57976.6329
10	293.116203	0	-825.499068	-693.112775	-556.943386	7336.75337	-613.959075	-476.770369	-468.868834	-628.00688	-658.404658	282.530425	-587.112137	-489.555647	969.510461	168559.093
12	294.450166	0	-811.474305	487.572831	-446.307056	4289.63764	-599.934312	-501.823655	-294.243076	-636.994693	-590.424625	-696.155717	-279.904915	-637.780388	181.210452	1814.0473
14	298.87768	0	-835.867633	2418.38181	181588.781	25931.6644	-624.32764	21447.9221	4112.30629	518.728814	-646.905704	10205.7203	7355.31139	-718.621392	12131959900.0	3117.00247
16	296.407654	0	-740.640245	-698.550134	3124.11605	999.630759	550449.623	161904572.0	132.066993	17542.6194	-644.100244	-665.230114	-522.785039	1616.51476	3685.99975	20756347.6
18	301.476086	0	-799.591363	24935.1741	10664.0757	144622.944	-588.05137	2201.66776	2385.65852	138128.959	-624.42357	34778.2028	4519.71344	-422.395227	79489.1818	38941.6889
20	296.222095	0	-826.348283	761.420604	381881.994	2614.5623	-614.80829	541369.84	-106.642246	1045.66061	-523.143595	-123.601588	878.187355	-338.729442	582641.948	4983.66632
22	301.940222	0	-821.803817	-445.259408	168029776.0	11424.5742	-610.263824	589.274697	-449.29875	11191.9897	-519.332021	-710.987736	-568.598372	-594.117161	172149.525	17100.8411
24	304.559226	0	-861.930413	-679.151807	353261.898	-420.228218	-650.39042	-554.258502	-417.795785	18158.2938	-682.403434	-341.156994	-638.339863	-735.233887	2123.83223	3441.54668
26	296.369362	0	-791.373916	1898.61873	25.7845387	216869.021	-579.833923	222693.006	1474.47066	22224.2709	-504.172297	5767875.78	2520.45975	-318.399877	1338034250000.0	41205.9395
28	300.285559	0	-802.183027	2119.72303	7725.58328	17585.373	-590.643034	185638903.0	-104.327276	4336.42502	-506.485581	22024235.2	54578.7396	-108.520779	33345.3411	40328.1659
30	297.134612	0	-754.294627	-689.394924	-556.429779	4220.20273	7573.22662	4747.31977	-503.804621	-303.762858	-267.457074	-246.472569	-571.442328	-608.676018	207578.275	204924.481
32	294.631071	0	-781.219591	3791.94845	1293.17608	166721.864	-569.679598	17380797.9	3430.43369	1173137.72	-360.034763	32210.8268	25575.3393	18587.683	215627.716	5874951.82
34	293.64248	0	-804.75617	366.000281	112.205906	900.253021	-593.216177	2028.87222	-437.826356	275.934411	-640.077034	22725.1807	-552.747882	-626.469631	54640.9552	3868621.38
36	296.776345	0	-773.916491	-773.916491	3439152.56	2351.03431	47479739.3	-129.468367	-40.8610647	-490.919704	-597.381034	331203.122	7947.84662	-124.652862	4990.76061	92192.3035
38	297.404999	0	-745.395642	-689.758037	-651.905644	83390.0161	1298.78842	858.972034	-31.5850958	584742.981	-599.24106	-26.362607	-39.6264756	-633.080582	7467.37672	8611.39249
40	300.64958	0	-790.542324	-528.441137	20264.251	655786.385	-579.00233	15725.8735	-456.517017	-773.672975	-237.250067	1728.95228	-609.90156	-283.491968	6073827.01	625438444.0
42	298.563011	0	-774.483741	22608.6819	49771.5226	2240.32783	76731.7899	10305356.5	3781.38061	30803.2442	-502.897044	630235.224	2396.76357	3082.60175	-734.333739	2791.56479
44	296.003998	0	-866.654167	3411.79088	-596.262112	11788304.6	-655.114173	30886.5048	543.831386	39117.4427	-582.09109	4712.3163	1610.50772	443.878723	675048.184	45248.1522
46	298.663915	0	-828.196413	-430.744823	513.530223	2859.53379	-616.656419	-6.45312857	1700.94238	61685.074	-633.914652	1092.41831	-356.661294	-687.317221	2716.34531	66.4696795
48	299.626367	0	-845.557436	-610.908897	3985779.62	2277.69522	-634.017443	333018.273	3786.11077	67621.1233	-558.975217	37752.0784	1406.53544	106.889501	504064.019	940086.641
50	291.679928	0	-804.036061	-306.098734	1816.47452	382788.855	-592.496068	36831.7744	-436.477256	106482.821	-612.5137	20804.7786	-529.953737	-639.781275	87391.4603	5923.30133
52	298.224203	0	-846.098719	1215.20068	21445.4881	4423.97766	-634.558726	435180.223	42014.8291	3721871740.0	34177.1647	2687.67949	105373.758	-684.289669	375173.637	972687.868
54	297.234665	0	-743.671883	80438.7791	434.453796	1451.60352	5140.76186	-464.743017	26243.7008	962.343644	-570.532275	6865.13119	442.941222	-708.261883	933.559945	374.909528
56	300.084707	0	-845.802922	-354.300347	3038.82579	306.732232	-634.262929	-592.001236	-533.383878	-821.71708	-677.586961	6475.00766	2252.69687	-767.316866	28260.3934	20439881.1
58	303.109015	0	-818.024599	-7.692693	118.782358	13003.2651	50356.2848	79.789745	3846.97471	-326.527026	-620.476209	-839.274595	-679.633547	359126.204	14843.9428	1066.65983
60	301.041822	0	-878.441123	-781.298508	-624.412047	8181.61349	-666.901129	-179.811283	-402.054982	150643.133	-358.465666	1867.14491	-589.439144	306.811689	8799.76299	40370.9425
62	297.070211	0	-801.201315	-619.798826	866.136747	7492.19396	4820.20616	12182.2845	4980.76319	-48.0445687	-325.439792	-822.451315	390.02026	251.958159	17185299.4	122234.924
64	296.390693	0	-816.318552	-181.046983	7336.89672	-613.898554	258132.809	3227.12875	23011.394	-376.118429	-618.463826	-540.736752	-561.667887	15484.2871	7112.82317	388.40098
66	301.465121	0	-825.963296	-743.276061	11276902.6	19847279.2	-614.423303	412.304457	-493.148742	788.387281	-523.503597	2012.19791	-263.396087	-596.63918	36266.4079	17969.8686
68	296.960081	0	-765.307053	2225.21818	2627.72012	20670.8197	529.662292	26727951.6	-514.817048	8879.8215	771.076759	-92.6873542	-557.19394	-459.597549	10914.7896	702552013.0
70	299.727251	0	-815.818713	-604.111431	54776.503	727.039618	471059.378	509.524721	-565.328707	-179.920744	7557.03161	65920.3611	-555.487483	-734.204326	34230.7929	257408.99
72	299.313393	0	-774.661298	1024.94347	14750.1807	116.247669	1683209.64	-593.591867	-524.171293	1901.16728	-266.825532	3693.12482	-53.9191365	-574.162602	10359.6084	2678.87811
74	298.787964	0	-825.391568	2694.95326	263537557.0	150921502000.0	-613.851575	419747.361	6609.59157	582472.556	5387.3085	74.442085	31703.3965	1845.79928	306065.046	59896.1126
