time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	295.122871	0	-738.41347	-624.285337	-644.923473	4306.61767	98739.6235	10077.1459	-39.5052057	397.921117	-503.630994	56.652474	-143.407711	-491.18543	11771.5477	208176189.0
2	298.396741	0	-780.346318	-704.846104	-637.349619	34384.7175	23700.4969	5329.29593	-529.656094	4581.7565	-677.47369	291.21444	-638.944575	-587.98877	590291.358	32998918600.0
4	299.985863	0	-808.319505	-728.411646	152979.156	2388.99491	1184.30479	366.277257	-433.743246	-302.515654	-586.426297	6568.08569	-657.846777	-772.909505	17518230.6	726.426695
6	299.518943	0	-735.796761	1648.24338	-642.306763	9853.94283	1462.7765	18787567.2	452.677201	54171.0191	36917.5803	315.53004	-121.747468	4022.17772	5938.97043	12257122.9
8	294.711058	0	-774.630199	-718.9288	-681.140201	3056.51043	94429.8762	449.735637	-229.671907	4866.43552	-635.671787	5167.00809	2166.8162	-675.206373	254452.512	29134.7373
10	291.328027	0	-717.017079	-2.43660563	-623.527081	107.001371	16662.8235	28771.1072	4061.15236	351931.659	-548.188742	185.956099	11975.488	799.886049	69180.8005	5533.99603
12	295.69062	0	-774.98824	645.479134	-681.498242	413726.237	1466.0137	7582.02894	5290.43823	410435.611	120.161382	274023.506	19421.9134	2231.37695	116348.259	63559.7866
14	308.460273	0	-690.291693	-48.322951	-596.801695	1618.40746	455119.913	3335.34062	2454.89861	34950.9353	-548.421794	3476.81021	-318.355447	7113.1194	2740746.47	197930.167
16	297.972567	0	-807.340787	1643.4344	73541.9107	21182.9609	581976.532	-479.681592	-446.886367	-606.041556	-295.223883	-828.590787	-560.361147	-21.0486426	22492.1818	3988.9771
18	294.984708	0	-763.77652	-649.452606	64197.1465	-303.113211	14322.6633	56881504.4	652.774913	4259.38808	-667.236519	2919.64695	-256.781978	902.028331	6185.62978	123445093.0
20	297.219119	0	-783.676857	17740805.3	455598.759	110898.86	14862838.8	386.912999	38610.1667	92051.722	26.4730509	17287.6208	328523.104	-748.266857	24930.2066	7043.02177
22	300.151283	0	-858.422893	29613.2293	520211.462	3287.2496	140428052.0	-792.092891	-95.8618122	47.8769297	-626.841333	517472.93	-54.1065369	-353.967986	20203.4987	66533.6277
24	297.569804	0	-813.888129	-813.888129	6304004160.0	4842.02187	1666.48931	100147.646	-425.950078	243.690899	-670.367367	31813.8972	-616.969761	-713.071284	5498873.55	11943098.1
26	298.893218	0	-813.554756	-645.155789	15715457.6	2257.03894	4492.15892	-374.253531	-497.579681	14.4058519	2841.58572	-834.804756	-592.255541	-422.719681	-496.793913	21042.5108
28	296.559689	0	-884.374503	514.209621	357354.634	10174.0843	398889.394	-725.488059	-527.720156	-968.174506	562.206604	9990.08928	-202.157391	2928.84031	231.224699	35536876.6
30	297.021111	0	-865.826977	10703.0841	346735034.0	11069.4453	1222.99875	-693.468584	-453.479283	-949.62698	-672.576357	27844.5861	-248.887796	-77.2022711	15576.7398	487990912000.0
32	298.472072	0	-817.549573	1824.37786	988.382921	3027024250.0	5336.75835	17362.2369	-567.059567	88.1174184	-378.085006	8304.45406	-520.95164	-623.277245	1328374.89	152649.424
34	298.653699	0	-756.375453	-28.8804245	-662.885455	207147355.0	8558484.24	3408.58105	48.2593203	2182.35789	823.982491	17.3257336	1938.97195	-157.772602	123538.704	297118.56
36	295.736219	0	-811.726594	-766.930101	1435530.82	-609.304213	81972.9562	-726.472306	285.90348	-497.660507	-696.247745	7787.42657	-597.136518	-606.645518	9639.20057	1515.71682
38	297.440607	0	-806.714512	-487.711755	-521.731135	-339.429892	11399.6532	-607.959664	-227.740377	-890.514515	-558.90389	34309.424	-555.30492	-608.232795	3.76868453	4410303460.0
40	292.958324	0	-786.991284	-673.637963	180204.164	17275.6824	84119.5388	687.487521	-445.732732	47932.577	-546.107605	-808.241284	-167.167132	19145.3576	3753.30399	548.323975
42	291.254186	0	-839.511945	6654.74108	24932.6438	109521750.0	312374.936	36295.6537	846.199442	-923.311948	36123.0537	48067460100.0	-320.721753	19933.2292	30863045.6	5.37646893e+17
44	303.860705	0	-869.431504	-508.299932	1637987.65	-667.011506	43429.5458	3785423000.0	-550.852381	584.554755	-725.060212	158639.099	-225.052065	-609.381014	46883948.5	29310.021
46	302.404679	0	-834.116836	-757.102501	14110994.6	-631.696838	3122.34633	-538.937773	-445.666134	38935.1502	464.702553	17588.0255	-564.505654	1746.8111	5097.67896	-40.7225151
48	295.814769	0	-806.197641	5171.59644	18265478.1	-267.184057	19143.8008	-537.465723	-202.651252	-889.997643	-457.434881	895.690348	4337.40184	-146.201022	15029.0136	1543127170.0
50	299.915	0	-776.043468	13711.0981	-467.216161	-128.321491	897.831608	-458.905018	-412.735449	-859.843471	-504.342848	407.614132	247.856313	24642.0073	8475.57275	686144.338
52	301.311721	0	-710.592794	-710.59278	527458225.0	1810.07393	15431.512	426.589266	-418.684478	163.426597	-584.209514	-509.640115	-164.936772	-607.815452	119424.75	45734.2892
54	299.141901	0	-760.590238	982.841992	21501.4218	-349.974416	226.135771	-290.143686	1649.2605	-798.624721	-626.119849	20786.0781	-91.3644309	-725.180238	2749.41004	4873.09957
56	296.612523	0	-764.453478	-764.453478	-618.252399	579.020232	2111.75736	-387.315626	-448.492369	3706.0169	3335.21924	435.490793	741.216229	-454.03515	7511.35979	713139.819
58	300.649103	0	-767.355738	-261.542452	-62.2543799	29024.6456	10543.7641	2783.53612	-382.241118	3939.68862	-649.818107	-687.444351	-566.508662	-731.945221	7072433.61	990048494.0
60	294.486057	0	-801.367937	46183.094	1791.90065	79489909.5	9633.1325	514117327000.0	-550.877915	128963.533	-675.243184	1743082.46	-444.337355	-581.315817	175758213.0	5019137.75
62	298.539049	0	-780.522439	-550.461445	16092.4688	-578.10244	110500652.0	-580.331458	-462.677635	1938.91964	-624.125217	204.981129	-409.950998	-642.451188	12624.4364	16826.5937
64	293.579936	0	-767.134666	-542.885613	305965.946	1828.29153	962.559313	-657.85415	138.030767	31456.332	-354.318224	-137.379668	-662.054664	-609.065068	303.85025	11117108500.0
66	292.155374	0	-861.742834	-663.206314	119.691849	-659.322835	21412775.6	2084.8031	-246.942156	354110977.0	-729.886283	-9.13264621	-519.647085	-730.508467	4987.18909	20916.1293
68	295.688479	0	-836.307718	441.111148	31751.6957	-633.88772	84796755.5	-661.976988	36266.433	-147.53855	-645.559621	7257412.63	468.994537	19271.3952	-269.870069	27675170.4
70	302.944563	0	-762.269585	-762.269585	3618.78085	345046.071	10520.5991	5083019.42	-253.000396	109771.707	148.620109	8824172.28	1764.65077	-470.847697	75210.9974	6498829820.0
72	297.145173	0	-812.553304	165806.035	866.478747	-174.627041	1904.12246	-233.807562	604.108766	-896.353307	-534.859721	11637.7258	646.458126	204.148059	2018.98021	546132.918
