time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
106	300.484309	0	-1956.28557	17331.2192	-1518.68337	1706477.77	-1742.34557	12325.7799	357459532.0	1206715.58
108	298.739175	0	-2067.85393	11741.0833	283320.491	13715.1318	-1853.91393	28050078.8	1022740770.0	61643711.3
110	295.311309	0	-2033.60682	48834219900.0	6258.20627	869.618685	4412.33103	-397.688454	-2039.72681	14857.1404
112	301.561111	0	-1993.86641	925859.301	335960.034	-1924.06641	22845210.9	173967260000.0	43101566.9	156492136.0
114	299.364217	0	-2008.1992	10518646.7	2709684.41	-1938.3992	79928.3462	100982.001	14710739700.0	1546059360.0
116	295.184257	0	-2013.33788	46823.1758	54295.1342	43231.1099	834782.316	2213576.21	-2019.45788	2545009.43
118	298.590291	0	-1986.79894	961672.741	-1544.03639	-1916.99894	873015.102	1650975.99	335319.976	573987.238
120	292.078235	0	-2079.64148	-576.89218	45652.9329	-1322.03113	17791418.5	10902370.1	-2085.76148	9572129.14
122	298.94832	0	-1954.49599	6393.81142	6116711.09	-1884.69599	7046620960.0	2684007800.0	54365847.3	37741488.8
124	298.683385	0	-2002.84766	518532.988	6024448.87	203432.686	-1788.90766	56579285900.0	4269966.02	4783.64245
126	293.488896	0	-2002.80491	2953108.96	-430.335753	2253.57596	-1788.8649	1760.91867	11419071.3	2992095.9
128	298.675379	0	-2032.64333	15485299900.0	54051.6908	81664.9423	-1818.70332	726.002733	96782.6905	-42.505181
130	293.540941	0	-1965.63452	24594.7359	10844541.2	635798.909	-1751.69451	5269694.77	9585593.36	574184509.0
132	298.954698	0	-1993.05858	7976.86592	32905252.0	-1923.25857	3005316.86	83974.2516	122927926.0	43439312500.0
134	300.744083	0	-2033.89697	10846.6288	10371024100.0	-1964.09697	69035.4129	73574737.0	11899978400.0	10806869100.0
136	302.200151	0	-1972.18174	22103.5508	5024517.3	8196946.9	-1758.24174	31492984.3	3353210460.0	1882477.1
138	297.737587	0	-2027.28603	1471246550000000.0	2605.48164	17371370.8	-1813.34603	282474.134	2224.18417	-804.221747
140	295.80827	0	-1982.15356	174981.546	1160892.48	296203729.0	-1768.21356	14268093.1	2046939.21	1583441870.0
142	294.804912	0	-2014.93351	136411.203	1069998.29	27180204.3	-1800.99351	4694233.75	24525.658	430747.047
144	293.700901	0	-2090.67897	1763076.16	2712.5224	12558.6416	-1876.73896	18581.1243	12470419.6	19184470100.0
146	292.360038	0	-1995.15147	5934.47901	40937197.5	-1925.35147	417300.781	26251955.9	566447726.0	331957.494
148	300.150986	0	-1967.56062	105201793.0	1436.12214	-1897.76062	97670.545	9099.96709	62368.9104	25633.4982
150	298.226948	0	-2026.20325	-541.767423	880.247499	-1755.73345	-1812.26325	93287.0474	480944133.0	27431164.0
152	293.392324	0	-1987.59857	70249.9865	-277.480515	242936392.0	-1773.65857	531457874.0	65471479.0	145640585.0
154	297.382924	0	-1999.56679	74945.4315	24766.5438	206789.337	-1785.62679	3442004990.0	158482477.0	636671.484
156	292.097821	0	-1982.77728	839229.612	2654.42366	88154.1729	13937110.1	233267911.0	414734322.0	-1837.34729
158	299.717569	0	-1968.69903	113933.148	-1729.22702	687.661437	-1754.75903	35455910.1	445105.909	495394062.0
160	297.801041	0	-1992.38377	2566338.79	11777.5579	-336.571932	-1778.44377	4591324.13	41989619.2	130847.113
162	296.310364	0	-1965.87621	9557.65385	-1756.9819	10643.529	-1751.93621	101848.674	15964912.7	43613.9211
164	293.053383	0	-2050.79318	11211.7059	2794883.2	225072.67	-1836.85318	149222.892	9938668.88	1141800.47
166	298.272799	0	-2048.21911	4340353.6	596764.566	5640.70371	-1834.27911	57191296.6	93721096600.0	55969954100.0
168	303.767107	0	-1927.456	6512.89145	65016.5207	16708.5325	-1713.516	275987.589	4372868.62	4437253.17
170	293.079947	0	-1991.76318	31414.4413	32399295.3	14727228.6	-1777.82317	3077464940.0	1567086990.0	414031426.0
172	295.678521	0	-2035.16913	6328945.77	79551343.1	7622.81699	-1821.22913	1534764090.0	58473896.3	415608187.0
174	297.633819	0	-2067.08698	17790289.2	12.0462418	1942.19924	-1853.14697	2999.91948	407649455.0	9306.77849
176	297.435633	0	-1910.34451	29885.1088	11367.5951	-1840.54451	633767.586	203248.647	16341904.0	91357672.9
178	298.858575	0	-2041.35769	124681.125	14325.9684	-1971.55769	10327348.1	49692610300.0	10562092.5	7626104.17
180	296.512756	0	-2009.10619	3464903.8	1669.81996	11963.9487	-1795.16619	223318.369	634472.941	32203.6967
182	299.433182	0	-1997.14191	37168410.4	65297540.6	10375.0783	-1783.20191	596.726286	116609.764	17744395.0
184	290.255824	0	-1981.96477	220768713.0	5002.92623	2622.00277	-1768.02476	163035.853	1041884440.0	2366087450.0
186	299.153986	0	-2013.90733	31465.2271	-1661.34083	-1591.89089	-1799.96733	653203.503	3362227860.0	234381853.0
188	297.22297	0	-1952.69291	13291197.5	109050.443	135249.802	-1738.75291	4044032.18	8497698.16	80439226.8
190	294.350771	0	-1948.99358	19316.799	268932.85	3429716040.0	-1735.05358	9755721.79	374630.122	232350843.0
192	297.910278	0	-2020.00695	134841.804	13852410.0	3847026950.0	-1806.06695	252969025.0	70115856.9	47890724.4
194	293.527968	0	-1973.94206	10535822900.0	-1289.12324	1236.2183	-1760.00206	9849.7338	73565.915	338027972.0
196	299.292644	0	-2014.71427	-84.7901677	4357032.29	-1944.91427	6897907340.0	151063945000.0	13537487300.0	34901531100.0
198	294.687053	0	-2070.47739	32681.1832	89213997.9	-2000.67739	666881962.0	105902908000000.0	19466938300.0	79473902.7
200	299.939345	0	-1965.53381	2565867.62	1050696.29	-1895.7338	841806.187	15599426.5	19170692.7	6668280.45
202	299.145927	0	-1952.16806	59920.6218	95152834.2	-1882.36806	460301.381	1967523870.0	3564221830.0	9064792.81
204	296.37815	0	-2041.83451	4207868.07	1236744.3	677737.219	-1827.89451	5110016.29	2421410.65	3198675.39
206	298.736549	0	-1965.71865	1384246.42	3369229.08	73039.2946	-1751.77865	1156680760.0	213224395000000.0	269864.281
208	298.06619	0	-2056.73891	28120878.0	32267184700.0	550673342.0	-1842.79891	110514024.0	338497745.0	220921536000.0
210	297.32226	0	-1977.6161	3739955.19	53969.7361	4008.17349	-1763.6761	14990.061	752360.97	4271293.04
212	297.497166	0	-2019.92952	466704.699	32856894.1	434277.039	-1805.98951	1872057.47	18682542.1	952672.503
214	298.276823	0	-2005.75487	15051.915	4188986.61	602288.495	-1791.81486	2300080.2	1965369440.0	63737244.9
216	293.562888	0	-1998.00661	10232294.6	186045212000.0	629584.578	-1784.0666	321318.379	108090294.0	23976.2654
218	296.989751	0	-2034.74035	135243959.0	17433.4142	325.207215	-1820.80035	220378.039	3130810.7	38616.9501
220	301.385847	0	-1980.57005	1195075610000.0	188912.604	8665100.48	-1766.63005	397857.733	190146602.0	84435.3303
222	299.504554	0	-1945.87888	2132921.05	22432.1509	1200691.79	-1731.93888	2156036690.0	6176824.21	264211952.0
224	295.426405	0	-2000.0733	4903662.68	978756.556	2946.94003	-1786.1333	77876.5683	8650587.94	171477.208
226	296.605121	0	-2063.53994	7243731180.0	286010.094	-1441.5779	-1849.59994	22556874.2	229988.801	6950.44416
228	299.046706	0	-2033.32696	2229355.72	785.163804	292775.97	-1819.38696	68734859500.0	193987465000.0	2963.89355
230	285.249201	0	-2004.14318	-2004.14318	-1906.50237	-1546.83951	631.528874	2459.60744	3229254060.0	634.474022
232	299.218872	0	-1951.0613	60127689.8	-281.646178	4806.14086	-1737.1213	130301.928	3865.86753	24982.6849
234	296.446071	0	-2063.57314	635775.77	678210.68	3979.34105	-1849.63314	2101132.73	608945.102	75741140.4
236	302.067021	0	-1983.72506	14402981.0	76863.1199	177344.976	-1769.78506	19472613.7	481518.062	31740261.8
238	299.282491	0	-1946.27869	819681.712	112841.868	8305.3752	-1732.33868	-200.997622	31852041.3	97892.2406
240	298.919362	0	-1914.75577	81663873.1	20156.7895	150906.578	-1700.81577	311844.595	7841900.86	160459.767
242	299.892898	0	-2037.2013	2470326.31	-1705.38318	643.635866	-1823.2613	-33.1671203	6748528.98	87653060.5
244	293.786403	0	-2022.66709	13056429.1	467.746283	50152.7311	-1808.72709	24106.8328	53139.9871	3841509.15
246	299.453405	0	-2017.33245	11309.6232	4832532.06	181928.705	-1803.39245	130337211.0	201278258.0	470981.158
248	296.044206	0	-1974.15422	649895318.0	-355.223283	-1300.06091	-1760.21421	158528.861	50315.851	-183.440529
250	298.230494	0	-1975.80371	-685.730765	2914.34005	86016.8623	-1761.8637	763309.143	40660205000.0	932277.312
252	296.662984	0	-1966.92702	391104.204	1191.3971	2170.81898	-1752.98702	930.11051	432328745.0	13483.6232
254	298.966657	0	-2012.4246	19488.4761	46125.193	-1942.6246	22029.4672	55206071.7	500274.077	5257.30439
256	298.921968	0	-1960.42787	1179631.64	222804.781	33595235.4	-1746.48787	1317425.94	2022417520.0	2840180.64
258	297.588524	0	-2068.54799	341.018263	9804.29012	42459.6856	-1854.60799	8113144.52	10245.9741	853978.421
260	291.102615	0	-1972.96495	1923970.94	2652.19405	760.457042	-1759.02495	3467645.94	288996.012	3432594.44
262	297.597789	0	-2034.37851	749963.183	1755288160.0	-801.616991	-1820.43851	71449.4404	53649.0213	8062.37545
264	294.642148	0	-2018.20973	9385052.24	96535362600.0	8419103260.0	-1804.26973	6323772230.0	139327436.0	38931456200.0
266	297.761026	0	-2017.88713	15498125.2	103287.603	-1948.08713	274084.2	112217.157	51965675.9	938358.841
268	297.346824	0	-1916.02779	38379.7956	486241.684	-1846.22779	15468946200.0	891574375.0	24724221000.0	873777.794
270	293.209098	0	-1956.40552	46560707.7	75947.8567	-1886.60551	1523180.99	21517.6251	67107804.0	2827874.87
272	297.986519	0	-1991.62669	6.19615102	5819.96149	-1644.95499	1075196.38	16697.7724	85221.5272	-1846.1967
274	304.329078	0	-2039.01639	3188796.51	-2127.15639	244628053.0	4504255960.0	478044140.0	1176958330000.0	2921171800.0
