time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	302.408405	0	-123.602154	341.414365	220434.285	3731880.62	-152.652149	153992029.0	898597.949	-96.328801	-11.1114854	-128.265262	-139.516006	-150.861949	5497.05969	-600.878381
2	299.370695	0	-170.773088	194.410244	-101.360935	-204.723088	-3.68069388	3025.95877	933.543773	319.682189	-23.9702924	-60.7139458	-125.773627	-98.7859481	918.371648	-521.53988
4	294.538066	0	-114.813061	19803.7459	1229211.81	239832.459	-178.876354	23049.0197	3727.85414	22.2033997	-55.7165467	-148.276831	-139.813911	-82.0229458	1050483490.0	-564.218657
6	293.349303	0	-95.8160187	926575.914	802225.998	21541302.2	-147.651344	18587542300.0	11033.7564	-24.6234892	-17.934882	-115.495383	-135.0795	-59.764974	315139.105	-579.240173
8	299.7885	0	-129.047695	10120483.7	28.0577237	38007.2786	-142.350494	-168.247696	1502.74237	2256.13182	-24.959324	-117.368418	-119.924028	-81.2741623	184.053008	-589.830321
10	300.250216	0	-98.2713457	3495.96865	-154.32134	280.055831	-120.883584	542.46949	1313.47084	-74.3368188	-4.85124749	-102.543527	-39.739188	-73.9440035	-123.46555	-523.425718
12	302.806463	0	-199.269328	800.243589	-95.6775229	-233.219329	-102.539565	57.8410425	57080.11	345.040148	142.949423	-134.646457	22.6857073	-125.813031	-165.705275	-599.625312
14	296.710339	0	-91.5184416	1486.32504	800.498883	-51.9380432	-77.9871105	-130.718442	318.966314	61.4494004	44.9868273	-82.5505578	-81.2068317	-64.9871403	-85.0957883	-522.870133
16	303.980219	0	-99.3673747	89337.3564	1670440.06	328247.275	-138.375588	78749929.5	21338.0538	53.3746877	-5.209933	-0.910497414	-94.7928863	-126.62729	1656.21611	-588.046525
18	300.30926	0	-114.248697	1760.19578	187572.269	904515.595	-129.051535	1760.6807	-191.4387	84.2386272	-9.28249491	-101.758593	-79.134176	53.7010057	-136.844249	-559.040564
20	300.942344	0	-151.299004	17952.8687	131033.387	207063535.0	3154.21145	-190.499005	2004.79654	-16.9561965	0.757462153	-124.713516	-70.0774603	-91.5993656	252274.149	-576.943976
22	298.502238	0	-202.824478	-71.9707512	12.0012084	-236.774479	-183.40146	21581.1175	1303327000.0	-125.026275	-40.8033593	-156.833984	6.82824913	-137.528372	-186.193008	-628.895269
24	292.445283	0	-188.489665	-67.3008563	708.451984	-222.439666	-58.2213936	14238.1181	8023027.06	-95.0391736	-8.51593844	-141.452332	-118.272435	-147.105035	-167.754863	-592.740545
26	296.431641	0	-115.152353	103340.405	603202.498	518122.06	-179.536302	54672.6278	1110028500000.0	205.060918	-9.25566963	-133.393546	-146.962898	-119.369067	3331430.88	-600.09096
28	297.351584	0	-212.906148	1514.37005	1332914.29	2068783120000.0	-223.228226	-252.106148	-190.134116	-167.169701	17.7004247	-202.535373	-81.82381	725.54212	53951478200.0	94.4822171
30	295.904765	0	-178.192654	631.791299	8639.84485	24475.8366	-61.6562124	-217.392655	247573746.0	-133.132203	-51.3517728	-151.362447	-151.230295	889.645843	2696.11543	-628.664561
32	295.238442	0	-177.102812	69355.3415	1725.22197	4140.67683	-187.779045	8051945.25	3200205.63	-60.2537791	-56.9325409	-174.482645	-172.091694	-120.976147	-283.892812	-575.13668
34	292.557802	0	-172.461019	373.75044	396728639.0	72149.55	-172.101685	-211.66102	9838.90753	-128.018731	-22.1665386	-162.7407	-152.645548	-90.7825696	672.942698	-595.056803
36	295.978731	0	-134.92856	35088.2966	1220.01259	1823021470.0	-157.027802	1568702.6	148081.151	-72.9279299	-10.2567916	-136.540053	-131.849491	-162.188559	1828.66891	-598.629299
38	300.911772	0	-78.0898868	48357.728	51260122.7	364543.106	-72.8038837	23107.7028	44460.5444	54.2956554	9.53278771	25.2239334	-55.9797608	-105.349887	27717.5033	-489.302976
40	297.658401	0	-169.132779	730371.371	2117825.64	127110739.0	-128.867019	46477136.6	78520296.2	-23.9933712	-51.2526787	-161.562742	-127.733919	-196.392779	5418469.92	90.3321929
42	292.115838	0	-66.81232	592334.265	2434362.78	57311.826	28.7287116	20981.4137	6474.7716	303.916336	48.8044826	-54.2452991	-8.4707418	-94.0723203	266276296.0	-460.8837
44	294.628721	0	-157.577002	130597.885	484.059324	40524.1538	-127.145697	-196.777003	937100.372	-51.389841	-53.809345	-133.044839	-113.015502	-71.153087	698.085624	-615.971932
46	298.209168	0	-99.3421201	2848161.52	29304.7719	99820.0678	-91.741264	25483688400.0	12524.3305	-53.039807	0.50456999	-106.305488	-104.421404	-126.602109	15813.4978	-587.338446
48	300.438394	0	-113.678767	397.378788	80201942.6	48779.4048	-93.1140168	5628.26798	17033.2778	-35.4693952	58.4342381	-77.4331015	-102.509039	-140.938767	120.429608	-465.60646
50	293.264465	0	-128.083548	45312.3036	86343.6225	139816.674	-75.5482474	-167.283548	125.829206	25.3651736	13.0016287	-122.908974	-127.217159	-103.304341	-106.852338	-588.306383
52	293.546359	0	-97.7374893	881532.92	4208553.78	1018210.99	-86.4079373	25407.7646	4774605.46	590.36188	94.4202806	-78.1060043	5310.41994	320.315854	7515.94113	-629.46747
54	298.018085	0	-181.586041	-126.639958	-128.797826	-215.536042	-165.875593	8459.09259	80521.2067	-112.977816	-31.6034632	-65.4875062	-145.319815	-134.026625	-180.585367	-611.579514
56	300.253539	0	-124.434822	2008.51643	6823.24823	6229215.24	1238.77975	-163.63482	-9.15795312	814.694237	-33.5278554	119.922842	-23.6697069	-117.322838	4779.81431	-578.030284
58	300.408996	0	-139.407946	3709.65142	32255.7481	3401667.14	-88.8358807	-178.607946	1285.79354	6.89545802	-24.5085622	-130.622057	-121.567504	-106.862478	14712.9036	-616.84998
60	294.995663	0	-121.89872	4828373.49	156186679.0	27328141.2	548.481383	16146405.8	305057.43	3789.41868	-31.1662751	306.436933	-133.74764	-149.158682	1803.89399	-140.718185
62	298.174331	0	-178.218738	74274.795	309.861216	617.923033	-184.650238	-217.418739	-215.436604	-129.466475	-27.3103317	-101.137158	-135.252711	53159.3358	-20.7792575	-608.239935
64	297.283786	0	-184.92948	98135.211	4204495.13	6763.65927	-158.949087	-224.129479	7288514.96	-122.902593	-80.9117292	-188.123977	0.626078601	-152.054563	44.2720644	-634.504636
66	294.768237	0	-150.70594	9826.51168	17503948.6	11401642.2	-131.940067	182992.019	7484.30146	-161.466381	-75.4716335	-144.783305	-177.972588	763.24747	11255391.3	-619.448987
68	302.163334	0	-141.139714	10423.5639	1242468.21	483664.46	-169.97202	1725604.27	4692.13617	2636.92388	-15.7981946	0.704792894	-138.148071	-168.399712	255201040.0	-612.36627
70	301.760608	0	-154.808291	1969.72466	224671203.0	653.018929	-161.446392	-194.008292	2978.02139	-96.2887495	-12.0275671	-120.025849	-143.627538	-98.3353542	240.950647	-606.819852
72	294.227869	0	-111.430418	11415434.8	5285783.65	1114572660.0	-154.039999	24441.7406	3247534.81	-122.209635	-42.3027862	-119.665225	-128.428955	-98.5429951	21957.3217	-617.977738
74	297.931476	0	-111.549324	11555.8091	16562.5795	131952.313	-132.168325	14115.6065	-188.739327	62.4698477	-9.43072633	-45.1171948	-91.6765595	5767.77302	1076.10536	-509.383499
76	295.501089	0	-154.430321	933.28848	54325.2828	54137.7782	-104.640672	241827.015	6869.79727	-65.3752215	41.1156089	-36.7006862	-108.518778	-41.2369751	-261.220322	-589.787209
78	295.780972	0	-126.321378	2248113.42	3450600.11	32083.9051	795.471183	70729.4363	3105126730.0	3055.61883	9.43169775	-95.0967639	-56.1601489	-6.62770709	21893.6439	-658.051359
80	304.148538	0	-128.86288	14406.9021	19591.0372	561622.286	-44.3793957	3260.61258	5037.30147	-78.2684167	-21.6254518	-137.484907	-109.019869	-76.7645861	-235.652863	-621.35259
82	298.611624	0	-156.541086	3046.59424	-101.967628	31.1700544	-186.467216	9938.0662	7349.2054	51.6403787	-51.0999735	31.7901814	-77.6452333	-147.204054	-263.331083	-242.961468
84	296.811997	0	-164.603845	137297.432	150319.603	25967227.6	-74.3761257	4104.62859	1620058.06	-43.097716	-11.9262834	8.86680932	51.9464297	-191.863845	44926.5769	-479.546942
86	305.196626	0	-150.696301	134.938649	654.412857	274.5643	-145.433614	-189.896302	987.845617	-88.2505374	3.56620771	513.428803	-127.268592	291.782342	-149.112506	-607.786673
88	299.890352	0	-200.298181	35935.4936	-196.773067	-234.248182	-159.367265	9178.86352	1184.48008	612.989681	-0.00859321862	-152.839191	-155.704102	4.77169182	23983.2009	-592.939771
90	298.455281	0	-158.93262	591.341837	259.162774	1538.71899	-211.192473	16275.9206	3665.01327	-133.496886	-93.7684962	-123.06158	-188.507375	-155.590651	-265.654496	-663.547795
92	303.729961	0	-118.328889	755.902665	77.3873055	85079698.2	-135.832749	-157.52889	220369337.0	-83.6309274	-0.784713672	-87.072342	-88.1064043	164.530303	6093.87589	93.491866
94	298.753736	0	-165.036897	-165.036897	31236.7973	13543.2138	-191.087812	19552.4577	5645880.62	-123.975636	-59.3907511	-121.728804	-151.538513	-135.97126	-46.8577908	-619.944423
96	301.12843	0	-235.648982	119.359185	738.203581	19276.6464	-218.18916	1966.36977	4799.91492	-87.4093296	-37.4330554	-162.518186	-149.836523	-143.315837	-342.438983	-693.91831
98	298.776602	0	-105.180755	92837.8563	5368.65462	1583769.55	-119.203859	586046.579	8192.88757	-115.959581	6.91594486	-111.07428	-125.469989	-78.1042487	485707.275	-367.616358
100	299.949007	0	-184.084966	121923.456	2950.13395	2177.26697	-129.387609	67218.394	7233.29696	222299.777	-10.6809679	-112.19147	1030.98806	938.441243	-290.874967	-475.991487
102	298.760448	0	-93.6776694	46469.3619	513015.746	970549780000.0	-55.6731734	18772.6121	9554.75942	18.9278431	186.425935	-97.5198785	-132.957666	196.73366	1657.22691	-560.582897
104	302.106502	0	-163.768299	110732.099	1122281.68	22488771200.0	122.590082	20449.4302	75220577.9	-147.899722	-56.9231732	-167.73281	-183.969486	-191.027117	1370.46949	-602.511183
106	296.035828	0	-152.951124	580847.224	7306.60801	137000.084	-208.530567	3772.40837	2152.42297	-162.636859	-92.3240842	-187.320195	-174.661712	-174.395496	826395.358	-654.065458
108	302.085966	0	-195.627007	2117.64299	2937.7343	1418.41717	-154.047231	2621.42306	13447138.4	-115.989429	-31.4123519	-147.032915	-151.173043	-101.271389	-302.417008	-651.40239
110	295.344875	0	-71.008455	36988.3646	2027232230.0	1101524360.0	88.8853023	1935042400.0	1545357660.0	1111.88582	-39.6484544	317.982444	1180.06763	27.2991295	1616389390.0	363.138527
112	294.625007	0	-68.8784605	487352265000.0	265270.988	839631624.0	97.0288537	500640.829	109982.031	7194.11623	24.1840924	3.79520995	35496.9555	313.392311	88.9615434	-600.608441
114	294.608062	0	-79.8014682	1263026.93	507995182.0	11152219000.0	-108.067165	1075622.64	846351.156	447.229407	14.4050287	-77.3413817	19.5622188	-22.627432	458987510.0	-611.531447
116	294.072035	0	-106.640074	61526.9342	281198.518	32318.6124	-23.1795873	-145.840075	1364.60666	340.349828	2562.75572	70.0455893	-64.8492063	-68.4875327	1252.38304	-541.214657
118	298.441032	0	-176.329965	-176.329965	9165.61363	883592158.0	-193.36022	4238.11883	2843.13367	-112.289848	-57.669009	-156.824221	-172.273609	-148.786058	-141.446598	-656.503727
120	295.752645	0	-133.578911	3257010.6	11.3921551	248905.895	-105.049027	-172.778911	270.771609	-66.6306852	-8.59434859	-89.2198381	-44.9955754	-87.3349606	-177.367602	-594.745332
122	302.937459	0	-104.727422	341.519632	82838.8473	318621909.0	-165.232374	279022.557	39298.9982	-110.202198	-33.1930168	-140.482536	-140.755923	-119.521527	4124.01404	-612.826098
124	302.467416	0	-77.9842423	19064.7917	36581754.5	28804.3198	-59.0527625	1970.07134	20257847.9	505.017609	68.1179791	-97.9004695	-117.262544	40.9183895	10975.2898	-408.164628
126	303.799024	0	-141.391878	107321.941	18025448.4	4454.26695	7.67510355	-180.591879	192.473041	-66.135945	1031.34283	-90.0316313	578.43624	-67.1683172	2.38031518	1099.60225
128	292.359548	0	-165.07689	493.801054	25234.883	1291.12681	10187.0455	1180.2827	2111.81623	214.242303	42.6528001	150.317454	-155.090183	-43.0089992	-271.866891	388.713386
130	306.375113	0	-170.04362	-170.04362	1148.62224	3097.31577	-191.072602	24007.1226	16268.4828	826428.489	-43.3392443	-160.786426	89.5914796	-133.228253	2181.30262	-624.758966
132	293.800101	0	-135.943722	2456.67394	11705.61	1993330.9	-130.857295	-175.14372	148.322797	644.990511	-14.9477173	-129.451609	-108.009387	-129.256532	-34.2596432	-599.509993
134	298.016335	0	-114.22329	70710.0434	1143740.36	2477391090000.0	-148.216839	31196074.9	13634720400000.0	-82.8031628	-66.2211106	175.874572	-153.499592	-121.12401	14737967.4	-568.662201
136	305.289295	0	-175.032493	9498266.97	2640.83209	49094.5368	-191.78712	382.609106	1062706.91	25.7702184	-21.1767771	-171.880163	-154.989842	-79.8165897	-281.822494	-652.192782
138	299.20145	0	-93.7233303	18397.5436	59829047.3	71075.1543	177.712696	120210.675	2450221.42	141147.12	73.1604802	-2.65230769	304.397088	-120.98333	13237057.8	4238.10651
140	295.690499	0	-182.738176	3509.05355	1521.38816	2323.14718	-146.062784	23043.8849	669559.467	-114.479383	-54.3471262	-164.927762	-166.084151	-115.208368	-289.528177	-649.273123
