time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
66	294.738409	63.992277	-562.422328	-562.422328	1324011090.0	277227000.0	72319.5478	12732.5432	2476.36693
68	299.368702	68.9805369	-506.983288	-506.983288	144207112.0	305975.91	2700780.33	406.032428	265492.757
70	295.501774	83.5092875	-529.412925	-529.412925	1515666.61	8329846.2	415817.467	512596.094	164151.046
72	298.767533	58.2407817	-537.132294	-537.132294	15917.4194	6529643300.0	35242800.6	670645.248	5386.94028
74	293.600717	63.2559942	-534.134852	32654357.5	12.2720408	14977.6842	-304.504847	133.799353	2789.20274
76	300.173661	66.4631269	-521.549146	-521.549146	82444279.7	5095531840.0	25092.9744	1717133.62	22984545800.0
78	299.414901	57.8148302	-515.840946	-515.840946	706836755.0	563928.544	33110.5598	6995.20722	587789.057
80	293.881405	95.9605758	-539.897887	-367.894272	477.658045	2291274670.0	-310.267882	79.7118548	231094.464
82	300.588307	63.0767286	-538.191998	-538.191998	19361.6462	133814312.0	11864638.7	218.074887	9684.52915
84	295.808458	69.251853	-500.817378	-500.817378	7955.44182	80522.5606	8654255.16	1457016160.0	2273.961
86	292.314455	71.6878746	-519.579534	-519.579534	6575.24212	13999843.9	4370.11222	370.11935	3240.43681
88	302.314407	70.2982296	-508.997267	-508.997267	11446033200000.0	750285.617	27619.5708	11561.2073	51298.8329
90	301.469912	57.9739858	-501.06596	-501.06596	2562.33048	644075.004	23031.1178	27742.3854	1401169.68
92	295.483671	65.6381194	-511.483385	-511.483385	36459.8451	184621718000.0	435634.067	79702.543	72060.5672
94	300.459541	67.1274909	-500.035585	-500.035585	127.755419	1270514750.0	72662.3211	1350.24256	9632.83516
96	300.384245	88.0659651	-524.414517	-524.414517	157636.417	16441.9647	1597484300.0	49687.9881	137163.424
98	295.106432	85.0087116	-534.319809	-534.319809	35900.1307	21774412.1	1027597.03	8424.02413	73302.9176
100	300.100451	69.1970683	-523.587415	7059.05828	10743.4815	15154.6652	470065320.0	-119.309784	-635.687414
102	296.155713	71.5635264	-533.183835	-107.921263	1764.53602	1950253.66	-303.55383	6296.27081	270.448903
