time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	315.619794	69.2758793	-566.759904	-566.759904	918086.958	235128.744	38222.1786	16196.5685	18208.9044
2	291.851434	56.6473875	-529.632823	1356.14133	-395.142818	7791480060.0	18589.9002	151.105667	1383.79456
4	295.416281	65.432789	-497.270473	238.33838	442.551322	10856.2869	31351.8186	-153.99927	-609.370472
6	298.224337	65.234048	-612.286463	26818019.2	1366.72633	117198425000.0	-382.656458	291.229869	2919.98902
8	299.382035	81.3161423	-564.947372	-292.864868	-430.457367	395972604.0	4072831.51	179.204402	2305416.38
10	299.529359	83.6403909	-567.133387	10631008.3	70705.8194	5080253540000.0	8475.57837	-423.733393	7255850880.0
12	298.860454	62.8613364	-519.40248	-519.40248	95178.0956	1127847.52	52412.7172	17787.1546	700634620.0
14	296.177867	59.5455916	-497.035686	266.730762	-362.545681	34962752.8	31569.0837	34.9514359	16950.3247
16	296.666099	61.2738066	-557.658375	3.30055618	18123.7619	364129340.0	-328.028371	270.5749	-259.663936
18	295.270799	80.5626434	-532.626445	-532.626445	13828021.5	986906242.0	216558.782	5536.72338	2282875.18
20	297.403102	76.3334848	-504.52878	-504.52878	415855.077	1893.87131	124532.149	47.9885204	79924.3751
22	293.732929	71.068524	-534.286291	-534.286291	125262.768	13941.7548	1059241.97	341.361834	92062.4142
24	298.426653	65.2899178	-548.075291	-548.075291	746.149282	33349579000.0	52929.4382	52.0459819	119664.589
26	298.599024	85.6594115	-516.439909	-516.439909	18854.0244	7266784.29	352258657.0	1612.07418	1497337.54
28	296.045188	93.2656724	-518.910773	-518.910773	858.317228	1216320.19	56184.9649	396.489457	11290.9736
30	300.810638	51.869094	-506.93365	-506.93365	6430.7733	196892.464	1892923590.0	38621.9438	20599420.4
32	298.993124	62.4737459	-478.790775	-478.790775	4521532.7	4733336.34	46413681.0	41199.1418	15971.4857
34	298.439111	83.2198437	-518.826673	-518.826673	1299386.16	1405090.91	18795584.0	200.295037	1875.48631
36	299.577938	93.2855938	-530.814644	-530.814644	434273.203	56095851.4	311741.674	3092.9794	891205.527
38	301.535905	69.5712566	-530.398149	19961.809	1134.52408	6531.69514	2814244.93	-91.5692669	-642.498148
40	302.614647	61.433161	-526.393954	-526.393954	59130847.8	30000.4475	1089383.93	82091.9579	1157421.52
42	298.510477	83.9320565	-510.538759	-510.538759	406551694.0	136206.086	30851574.8	23991.4459	276469.705
44	296.714938	93.7173994	-519.481078	-519.481078	27706.8459	4680689930.0	271724.899	8823.90349	911975490.0
46	298.283494	68.3549783	-532.00515	3736.09544	-397.515144	23016.4993	4317.79535	3374317.88	5352.19591
48	296.070511	60.8570268	-534.83998	-534.83998	110710.039	681228.528	54275850.9	86693.2281	1006482500.0
50	302.385664	70.0232526	-502.078164	-502.078164	102.806654	58959756.3	69407.7126	48089.5414	10595679.9
52	300.595236	55.4900992	-591.812987	127565.067	5236521.54	61214.9404	28479.0974	-448.412993	359.136364
54	293.353929	72.4374853	-509.655408	-509.655408	304.550852	17312658500.0	921035.558	157285.592	41442067.3
56	301.457627	45.8774436	-538.525348	101.785777	-404.035342	2698397.1	59607.7542	962.875484	2247190.65
58	300.828702	68.0748373	-525.015628	-0.887935433	-390.525622	29296414.6	41668.4518	4539.31361	387493.603
60	296.880635	70.9607537	-515.158837	-515.158837	65394.878	6617540.38	300498.284	1194.42409	242820.74
62	299.871529	76.0419847	-559.149556	31733.0638	893971.0	6379.66308	6136524.53	-415.749562	91844.0997
64	296.593489	45.1410601	-515.51644	-515.51644	646.915176	344368.911	36177.7461	7410.49946	3558.53904
66	301.240778	84.3458039	-525.444344	-525.444344	-71.2877757	48568655.5	3626947.14	7113.68438	211641.81
68	297.946904	62.5208549	-495.716849	-495.716849	119875.609	514192.658	4244313.59	120802.367	5555577.14
70	301.389066	57.7398952	-536.139546	609.039614	33060.3075	1369223690.0	14155.8261	-392.739552	600.67693
72	300.892394	65.5740294	-544.961147	-544.961147	90353.7968	23333.9005	989403.889	1059.2442	227349.833
74	299.939101	76.4725944	-501.95727	-501.95727	653.768471	2185562.96	498776197.0	6257.54249	1285610.37
76	299.307602	70.8670947	-517.627736	186.344348	2332.62471	-639.477734	246224.883	2986.47041	-531.088909
78	301.352926	73.767078	-517.517544	-517.517544	1570.64577	5655961310.0	71468.334	72064.7707	64645.6978
80	294.166607	76.5332734	-517.187598	190116.486	1260790.11	454914.548	22557726.4	20014.9474	-629.287596
82	297.489489	80.2259765	-523.569015	-236.169367	-389.07901	5556688380.0	484085963000.0	247.947582	37631721.2
84	296.185587	69.950379	-534.628522	5651.41736	4774.34879	13712.121	408370.467	7773.90546	-646.728521
86	299.085806	59.7242602	-558.355081	-288.52068	12744.8627	33473.5785	2502028.48	-414.955087	94017.8811
88	297.44516	45.8715349	-550.70216	-550.70216	38837.2985	45308265100.0	6103320.1	983.98989	2916282.68
90	302.005288	47.4500758	-522.428845	-522.428845	124092.36	568511460.0	53027.9316	627.749345	18803.8138
92	300.369071	62.4149153	-557.238651	681.27847	4570.56078	37804944.0	31386166.5	-413.838657	246135.776
94	296.014845	50.5999571	-538.551311	74007943.8	139.575573	346534.777	257296.235	-395.151318	825.773359
96	296.173465	49.4823021	-523.782216	-523.782216	7083663.47	1573415.57	52360634.2	24813.5194	46780.1366
98	297.349178	52.8882461	-526.834405	-526.834405	12703.7683	88084799.2	22129273.9	93232.9906	1826.88641
100	300.294396	90.3192538	-551.340006	1108.83859	2913.33502	8847533.16	24486.8571	1615.38629	-663.440004
102	294.475574	58.0986968	-574.836078	51810.4334	110083786.0	504098.432	76427.9451	-431.436085	392.774435
104	295.47521	67.3081059	-553.257465	34.525824	23.9865641	33850.0086	56368.2344	-104.452788	-665.357464
106	298.270823	62.7177896	-519.130347	-519.130347	107736.255	491169169.0	450834.865	11940519.5	1293460.27
108	298.575315	70.6258857	-538.830344	-23.3419288	8281.55313	17081.8744	58578.562	1853475.36	-650.930342
110	296.018033	61.2346282	-529.877501	-529.877501	108990.357	94809167200.0	6001.48281	2380.20421	1015.41266
112	296.961332	68.1190636	-513.423997	-513.423997	48405.232	106075.624	33883.5432	14513.9826	35956894400.0
114	293.468563	44.8672946	-494.929748	-494.929748	271388.186	85776.9738	74213083900.0	9282.60533	1406684.44
116	302.747636	57.8341333	-538.15408	2341.21689	921.71798	2122.37778	132649.605	-394.754086	-214.301331
118	300.376695	60.2549899	-510.212375	-510.212375	4341.68605	26847.0438	206440.423	8875.74032	271409.673
120	299.137359	74.5322019	-527.347085	-527.347085	8863.65509	373097.714	85311.7802	-10.8214078	9347369.51
122	297.898928	64.1196755	-548.332474	475.771785	2614.80063	1013984790.0	388583.131	-404.93248	-105.996881
124	295.043118	55.3857994	-514.072332	-514.072332	91278.9906	1642873.95	3433813.91	298.642169	29824.5851
126	299.518519	90.5224146	-532.031464	-190.516742	52983741.1	45185298.0	180500.468	-388.63147	1364.431
128	300.730454	83.3009187	-518.478538	-518.478538	1619416.92	441071111.0	55279706800.0	6895.67908	166354223.0
130	296.248281	67.3165801	-528.405224	-116.768559	2607.98143	81853.8819	65907.1305	-385.00523	17684.787
132	300.438581	57.135573	-512.178288	-512.178288	1064.92433	288776385.0	5042637.55	563.904006	9227.92959
134	297.86888	69.6248058	-525.598293	8321.2097	814.826114	782149.233	1072020.16	-382.1983	4636.45877
136	295.51027	96.8701052	-547.389457	139301093.0	4159.87139	554747.224	2769.07783	5343.45758	-659.489456
138	294.537143	62.9993167	-524.737237	3469.31797	3268.75935	3161938.36	26309.1608	-381.337243	146446.78
140	299.542201	75.0636622	-511.332221	-511.332221	121723788.0	50132718500.0	143826.373	163281604000000.0	1647203.94
142	295.347617	65.4132362	-521.108978	-521.108978	211821.317	152038337.0	263582.124	558579.452	31531.9253
144	294.020053	55.4750852	-522.668234	-522.668234	1245.42866	2297702.1	843505.63	6910.35859	8635.30475
146	297.924968	64.5251054	-524.785481	8334.3916	1189000.94	66219.0296	24233.6359	-381.385487	2399.56935
148	298.837809	66.839442	-544.950154	310.925427	477.018602	12818.2291	5583.28075	1.63370771	-657.050152
150	296.686673	81.8673842	-530.593621	-530.593621	3047358.77	32422.412	1404828.39	393708.636	58933.6055
152	297.154879	67.2619956	-546.588331	142.89625	4786.00347	135563.704	38346.413	-218.607543	-658.688329
154	296.243627	76.9229758	-545.395693	-93.0227938	1456.70444	4960610950.0	85910869900.0	-401.9957	94296.3104
156	296.777308	55.1200119	-535.502795	6388.42584	143394.235	286489596.0	508812777.0	-392.102801	11686.9776
158	293.958637	73.5292052	-556.194393	130291.37	35618.4636	2159.60483	1097981400.0	-412.794399	37454.3177
160	301.742024	63.8594526	-526.057007	12794.972	1146.47098	1689836.04	68868682.6	3572375.67	-638.157005
162	303.666682	76.3125731	-556.144126	2070.48058	1002.82757	23918431.7	77775.8947	52.0540604	-668.244124
164	295.774318	72.1509972	-551.85409	-122.947722	17691884700.0	39501.3716	11084.3949	322.227397	-663.954089
166	294.199269	55.8545426	-511.523801	-511.523801	110885.041	17745606.6	687130.325	39807.9219	942767.448
168	299.247899	49.4355904	-533.42398	3372009.96	1936.63593	354655.485	3594235170000.0	-390.023986	5538466.71
170	301.043516	61.5783339	-514.89363	-514.89363	556.366739	62559.4111	17163.3914	2346.50235	14807.5174
172	297.396483	64.0558532	-542.509895	42.9126331	612.64311	1220089.57	45605856600.0	13.2105226	-654.609893
174	296.937469	67.3474069	-507.842093	277.168904	630.301682	3099968.05	946.360122	43.9090032	-619.942091
176	299.756093	58.8800613	-510.587089	423726.969	13782.8296	9170.9752	10964.8495	145.618956	-622.687087
178	295.204274	66.1047613	-533.09695	114023383.0	20122.0587	440112.226	36335.3697	9963.44555	-645.196949
180	296.898866	83.201165	-536.20666	-536.20666	4434956340.0	6986361820.0	3002626.66	25356.8905	73061131.4
182	300.250728	68.4938599	-547.137749	1.24884943	-412.647743	292524.871	32198.8632	466.879712	56089.0598
184	297.070047	67.4731931	-523.334102	77.5152315	5907.5157	-63.8843916	491.389641	-145.205175	-635.434101
186	298.218778	69.5358415	-517.753121	-61.0153325	444620.423	347356.16	1735.80719	207.428322	-629.853119
188	297.852682	68.6668831	-484.672429	-484.672429	1737968.84	50264.1894	47646.3759	2443.01713	23692.4124
190	297.868335	66.0232943	-499.858194	-499.858194	790.948537	764648.677	7205.85649	-162.672515	26822.1449
192	301.722127	84.3064964	-522.161294	-522.161294	10069.4246	5.77119408e+17	70414.549	1235.49844	789053.208
