time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	320.407271	69.2758793	-566.759904	-566.759904	918086.958	235128.744	38222.1786	16196.5685	18208.9044
2	298.304577	67.3345475	-525.074045	300.539731	6476296.44	171606473.0	12104556.1	5263.2588	-637.174044
4	296.280955	91.4271035	-548.718033	583.046689	-414.228028	31524064100000.0	18132.2085	279.01594	39138.8379
6	302.314516	67.7412839	-523.056225	-523.056225	3927.20343	71409613.9	82922.8004	4377.75357	273159.764
8	295.495115	56.332895	-489.293788	-489.293788	1909.62313	87845.5458	3369179.46	2977.68811	1647203.86
10	297.52054	78.9457913	-519.231302	-519.231302	54273675.9	1692566.15	5436.2473	3294.38232	27282.5068
12	296.405653	88.7136448	-541.204009	-541.204009	188400.931	29094674.1	5369.60235	526.80216	5671822.07
14	296.694532	85.4382225	-577.959368	2590.6582	1688.2487	64491709.6	-348.329363	3362.18301	1028037.28
16	297.065363	81.3177782	-532.795107	-532.795107	14349.479	996731.285	106389.364	147193.397	188591.293
18	295.990492	86.5074566	-511.241507	-511.241507	2103473.43	4000.18133	91004305.8	1434.12961	18684.5438
20	302.23073	63.9657477	-537.190312	-537.190312	1020.24968	652841.378	18766784.6	1722.67393	102328.512
22	296.284937	78.7800491	-547.803997	-547.803997	25700.0167	28534.1856	3046175.01	1738.71945	9956.65119
24	292.441489	77.821168	-525.05158	-525.05158	7368259.81	128662148000.0	92684255.4	6541.81699	2426.76358
26	296.653584	65.0451448	-519.134175	-519.134175	5154.99371	63638250.5	12405.0471	626.452867	126325.961
28	302.085907	67.8944406	-501.283004	-501.283004	67643076900.0	2094219840.0	336084.285	293641.717	325644.676
30	297.939029	71.1014238	-519.094694	-519.094694	122783.194	292507.171	15516.7257	174315.279	70278.0446
32	300.268602	66.5489561	-495.758534	-495.758534	7380992.23	2770261.42	152094612000.0	2217.33786	39405.1626
34	299.11286	61.0431088	-526.626378	-526.626378	2431769.04	10119069.3	26150.8108	336.999422	369339.2
36	292.466398	73.1839587	-510.369381	-510.369381	18770.1502	7179916780.0	40612667.9	2850.52081	3177.20428
38	296.582589	65.1309723	-529.509858	-529.509858	856012771000.0	2215958.67	102813272.0	735700.211	23963.1527
40	298.715168	100.52828	-533.704043	-533.704043	23603941300.0	3651507870.0	8974273.56	11397193.3	15528.8059
42	294.261812	78.7576469	-508.486701	-508.486701	10069.5208	7627837360.0	184749.47	9531.15386	20902.9935
44	298.468458	59.0515727	-571.264837	-313.196026	2739660540.0	183867405000.0	-341.634832	428.793731	8801.96312
46	300.413202	58.5524409	-525.855236	-525.855236	181087.275	1449137.37	122442.078	2763.43007	1278.1037
48	298.447099	74.3267694	-526.898167	-526.898167	127117406.0	28782510500.0	11675984200.0	542.28413	10260763.2
50	305.357609	63.6557486	-487.999099	-487.999099	29138605300000.0	1339223.65	2875193.0	638.241141	77492.7112
52	298.639977	70.2720573	-510.932267	-510.932267	84981.3999	6657487320.0	19271.9559	1109.18211	1214818.64
54	302.302902	58.7410044	-528.678974	-528.678974	382616977.0	811153997.0	12689.3385	-5.0995096	6253508.64
56	296.678163	103.589208	-522.219942	-160.051857	41413.5974	2209948.51	21525.503	-112.862017	-634.31994
