time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	295.540176	0	-66.3084509	34506.8747	87479325.6	24556.8655	59.9657273	1129074.03	673400.52	54.862084	161.273207	6.29332316	115.700295	-92.2084498	10508.8216	-503.519815
2	296.506361	0	-100.206015	155752.736	488788.4	1011319440.0	245.348233	14726427800.0	2548851080.0	25977.3174	207.14806	2938.3537	3211.75044	624.485079	52403.158	-581.756003
4	294.274849	0	-81.9441302	5359.83015	917.091126	125157719.0	-40.2216604	2766338.61	3993059.65	355.675606	115.553477	27.1897501	485.159184	-107.844119	499383309.0	187.005451
6	299.603616	0	-182.267613	-182.267613	5020.62215	37549.8833	-34.3163113	-101.920878	48025.6302	-18.5637331	47.5991274	40.1857904	-14.072448	-67.467576	247.872184	-527.901663
8	302.047764	0	-136.528751	465.238567	47760.966	370.177477	109.2408	16708306500.0	1958.76279	239.278641	101.232889	148.627766	-29.7750335	-36.7812226	-184.98875	-573.247764
10	296.914771	0	-127.447999	12408.3741	9149.63759	13253.0658	667.07827	3719371.61	-133.947999	-24.9882988	232.96918	135.39598	-41.4501547	-96.8456863	-125.24829	-523.997245
12	299.078644	0	-208.874462	24004.4393	97.0545851	-223.374462	1496.92813	980.581408	8649.9692	259.824614	115.579678	-9.26500786	128.771429	55.7359911	65688.5955	1084.06833
14	298.741984	0	-135.319438	166.00623	29367232.4	7654744300.0	-57.3845651	5362.08941	142742.542	41.483749	80.0053729	24.115578	-74.2044676	-161.219438	423.448201	-533.117487
16	291.687995	0	-98.0853162	-98.0853162	525472.646	830.189478	788.785728	2635.51456	38.9963639	130.897366	784.526652	2807.9715	23.4279966	534.636544	59926.4096	-331.435277
18	301.643756	0	-181.527945	14543154.8	15465981.8	918633.809	-63.3385653	17591.3505	25135.1819	253.996426	74.4704298	-53.7702247	-63.5833006	-207.427945	64485.6556	-567.651943
20	303.481876	0	-118.736012	2011.17764	1365577.9	41792.672	582.948191	18577.0005	15287.9788	79.728632	9618.7231	53.6103536	11.2051514	-144.636011	478214.608	-482.132014
22	290.040804	0	-102.477608	1318630330.0	101594630000.0	28727468.4	-8.56963187	310446.592	6787.5567	704.730446	63.8706681	-67.5376007	-51.3731299	-31.9998732	41962553400.0	-441.343006
24	298.448275	0	-74.131413	2270349.88	347048.943	52613359900.0	129.322999	54045681200.0	340911.958	1327.63028	58.3785815	441.417086	62.7352794	40.4532653	4035.88394	-461.708273
26	298.532161	0	-214.023435	-214.023435	15997.0073	52393.8574	-47.8793413	-76.8186891	18789.5823	-101.766406	16.455862	63.7476413	-88.4513018	660.59858	5351.36969	-404.128552
28	297.71684	0	-154.295722	348872588.0	72725009.7	548587.828	1621.28557	1232.83916	243.789481	1939.49387	400.144363	1076.22143	125.894326	1718.60172	18244.4753	-635.84571
30	297.866009	0	-58.4771845	37728.6027	410254261.0	126044337.0	109.124967	394505.256	204829.982	2771.46621	340.789781	11523.1587	87.2242833	97.0151659	2034.0975	-540.027172
32	295.962213	0	-101.008491	752.008457	47659.5782	296123187.0	-81.3109045	482248.233	620320.515	-49.1604637	99.8334991	-27.4326475	-52.8517068	-5.12142578	153353.813	-496.842061
34	300.961558	0	-159.872299	368.873077	535.170216	13466.019	17.3648098	93182.8122	-166.372299	477.116979	134.812954	-75.4207797	-68.9793849	-87.1872461	212.013476	-579.387453
36	294.876435	0	-177.433054	300328.199	8708.20994	36193453.3	179308437.0	-185.783054	59394.7945	265584.661	2350.86554	1223.98231	583.637596	23527564.8	5161791.72	382122.136
38	294.714974	0	-135.525031	84157.3622	541.769936	14104.0392	-59.4991278	1547.27061	-142.02502	58.9600697	76.035623	-64.6542016	-65.8083713	-130.51693	897.69917	-528.460055
40	296.317538	0	-181.703591	18764.112	2397398.64	941540.86	-129.847798	1248416.31	5649.5374	67.4784559	15.6769479	-92.053219	-117.591203	-53.4233959	45605108500.0	-663.253579
42	301.428321	0	-127.557406	162599.261	18207590400000.0	3867849990000.0	-59.1634138	9517.66933	10445.1148	1006.60679	90.096292	291.483669	-27.9927898	-47.9371058	122363.999	-609.107394
44	295.983072	0	-118.582366	22010247.4	4311235.08	18472339.9	-10.8740109	32307796600.0	24316.174	25.7460269	102.287364	-83.6072262	-89.1903038	-84.8870287	134442.627	806.210115
46	297.62465	0	-122.072159	189.425507	111341.007	17279.8757	-110.955254	70778.7702	3287.31772	-22.7210031	38.790124	-75.9090015	-72.7758607	-97.291967	9333.20292	-548.416572
48	295.814353	0	-180.652044	-82.0008497	23066.6839	2627.63647	-36.5223867	-189.002044	38444.1752	-3.55343925	48.9269634	-73.7276846	-2.75557754	-110.169449	-74.9925438	-506.246129
50	294.498925	0	-101.643551	-101.643551	16508.6106	668826.548	751.073481	12043.1002	55671.5174	2861.94722	378.3196	329.687209	398.412013	430.683996	82736.1336	-226.839779
52	297.283763	0	-117.806735	47726.8365	91689.0178	7216.94056	1854.86768	536.727102	58485875.4	437.259615	164.548738	112.037916	29.4313071	284.575512	-166.266734	-442.39811
54	297.939794	0	-122.191195	9190.7317	2055065.93	8187377.17	-66.6188805	44583.3085	139558.073	-24.979576	223.375778	-87.2511959	178.26466	3316.85462	20263.2991	-383.951953
56	297.220518	0	-150.376214	81838.266	764.16917	8302758.17	88.2719809	916.848085	736019.894	79.3686793	159.198828	-48.785461	-38.6400063	585.049707	-198.836213	-228.596905
58	300.639507	0	-97.6130602	13403.6045	36372.3007	8468.93185	487.862596	-105.963061	4858.51166	535.719176	333.573021	6.66027955	18.9961804	-73.0362371	2280.79684	1239.04953
60	295.944907	0	-109.439801	7519.58977	140145.976	650.303467	2866.48692	29785.0674	32109.6466	1900.25481	563.815135	235.449091	-90.6098006	552.714183	-24.4379553	-528.940086
62	295.449245	0	-117.646633	2623.43844	409615202.0	14879171.7	1541.98807	367516.043	272988.809	79.3304463	370.748739	30.7826439	178.921886	-143.546633	4611.86793	-420.90642
64	294.34664	0	-80.9693311	81917836.3	126385967000000.0	705052.639	-25.6919849	340263.457	57784610000.0	299.055458	151.79343	15.7372606	5.32306193	-24.6588609	6032.47566	-562.519319
