time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	295.634597	0	-216.571689	-216.541182	-218.043014	-213.758759	617.386744	4636.80105
2	300.334917	0	-145.531676	2650.86919	-174.715743	-141.119547	304.594011	209338.193
4	295.74073	0	-161.417144	-161.364248	-124.095152	-159.959492	1117.11367	581816.87
6	299.772528	0	-175.702996	30.3918778	-201.196993	-183.174367	18.4804913	9517.9628
8	300.665072	0	-169.479224	236.890828	-197.000736	-175.822235	2328.7264	28391.385
10	290.623373	0	-206.449378	446.312503	-235.616363	-203.833804	230.839811	9699.08575
12	298.804234	0	-163.199739	-163.199728	-137.050263	-140.782974	7019.98169	971698859.0
14	294.672367	0	-206.111044	476.258406	-192.458886	-170.305196	-164.011045	3539.36008
16	299.904505	0	-254.769878	-191.879538	-239.886209	-218.101096	-212.66988	14191.4989
18	297.062176	0	-144.503893	296.952699	-173.53052	-145.927839	163.522188	44829903800000.0
20	297.351233	0	-191.507809	-69.8588567	-189.584473	-166.613938	-149.407798	1267.61402
22	295.710367	0	-189.519248	-90.9205688	-218.690674	-186.547936	20358.3049	192924073.0
24	291.388524	0	-199.236359	-97.6017168	483.559015	-160.101022	-157.13636	7146792720000.0
26	301.773897	0	-290.91675	-191.777624	-245.778584	-235.639594	-248.816752	6959.8922
28	299.285134	0	-183.226972	1171.29014	8.5037732	-129.049427	-141.126973	3501574860.0
30	299.087682	0	-187.729152	5901.04793	-184.448626	-195.829148	1932.39504	22716.126
32	295.879262	0	-266.123896	-187.270423	-206.704072	-212.172733	-224.023898	226429708.0
34	296.652293	0	-113.715924	-44.2864856	-142.82789	-113.502985	10182.6138	2559867.2
36	292.137842	0	-178.426419	2140.33182	-207.624534	-168.733348	80.5282781	645.069773
38	300.329421	0	-173.83853	-173.83853	191.770125	-88.5916416	1599882.72	719756888000.0
40	298.832056	0	-187.620048	-82.8657665	1768.50477	-152.334762	-145.52005	10457953400.0
42	299.591269	0	-159.15748	158.025581	870.895658	-167.25748	674.623032	9082.6645
44	298.666272	0	-188.668613	-7.47818453	-215.651613	-195.466736	780.284865	30478.2372
46	301.785461	0	-189.866609	128.356989	-218.584814	-193.67215	3274.47341	134106.685
48	299.347655	0	-185.074945	-108.934617	-214.274938	-161.902262	132.093921	10259.3776
50	298.576037	0	-134.436339	11795.5945	-163.636339	-89.2501566	107.322381	40500.7174
52	296.597499	0	-159.447102	-107.464235	-188.640453	-152.874342	206.599283	1140166.44
54	296.24961	0	-134.263978	198.657021	-163.349996	-134.678176	1726.82417	195597.082
56	296.156533	0	-175.918482	1186.3768	-205.089531	-172.979502	6154.00851	3883534910000.0
58	302.659885	0	-190.600378	26.7665886	-210.323823	-198.645703	4432.20694	6505.28596
60	296.556979	0	-168.333151	-37.2230165	-67.4690086	-176.433152	964.532384	706.314156
62	298.221497	0	-164.62263	177175.177	-175.495993	-172.72111	2481.96471	14787.5259
64	296.000275	0	-225.399698	92.3278247	-191.487583	-180.609493	-183.2997	580836495.0
66	299.771251	0	-334.839138	-149.239555	-307.598992	-277.644639	-292.739139	22035.6945
68	298.737609	0	-210.055356	-152.25672	-239.246479	-204.197405	127.360845	87931351.9
70	297.879177	0	-141.760479	440.583235	-120.855008	-149.86048	2570.99034	1124014040000.0
72	299.031656	0	-144.228051	180.223427	-151.853077	-152.327642	5478.04898	8370.79951
74	297.334291	0	-200.95872	-200.95872	334.091212	10728.3278	52012.4161	3046.57028
76	300.537864	0	-151.460491	30013.872	-38.8100968	-159.560491	5760.61597	660970260.0
78	305.298858	0	-161.226062	-49.0437466	-113.457214	-126.647509	-119.126063	17714.1674
80	298.034815	0	-198.722009	663.199625	9.84560223	-157.097692	-156.62201	2331.12462
82	295.916574	0	-197.206936	-152.270563	-193.271896	-157.557507	-155.106934	38199.7815
84	295.335409	0	-250.252323	-182.807994	-241.400782	-215.62735	-208.152324	40888.7657
86	299.06996	0	-248.474174	-137.298608	-216.825059	-202.870038	-206.374176	29251.0847
88	294.635613	0	-161.432332	9804.09933	-190.606887	-158.175302	1326.94042	235.064814
90	291.303301	0	-214.186697	2241.48065	-233.581156	-222.238887	526058.459	1621206810.0
92	292.767047	0	-144.432057	179.256395	158.533268	-152.532058	637.98117	3113.05382
94	301.846831	0	-133.089351	398.436377	-150.563434	-141.167441	26158.4547	3277.05656
96	293.401206	0	-138.72044	334.894844	-135.561182	-146.820436	2733.9329	3786.80092
98	296.232586	0	-149.783951	15.6747329	-178.064101	-154.9831	1176.88602	113145.95
100	296.118254	0	-175.920245	-145.933621	-192.949804	-184.001933	1445.69079	11837.2429
102	298.512945	0	-171.000329	6571.58235	678.564464	-158.803537	-128.899645	405.175293
104	293.449475	0	-205.430765	484.670162	-141.035202	-213.530766	2132.19944	389080.3
106	293.885346	0	-126.762167	-34.0314719	-41.8895863	-134.862168	3831.15762	4437.34878
108	301.096426	0	-201.875226	-201.875226	178.058158	-163.438263	966.022757	9274.62275
