time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	300.761931	0	-162.720696	134.783723	87.3660657	-170.820697	9333.6069	3420.2507
2	293.645087	0	-189.807228	-7.50684009	-219.007229	-100.111878	38418.5626	2299.23064
4	300.215515	0	-212.468932	-62.5342166	-241.668933	-138.194545	987.000473	11887097800.0
6	301.566594	0	-158.323338	279.769786	-187.521837	-148.065828	258.160609	55751326600.0
8	298.118447	0	-231.976274	-160.521236	-261.097754	-231.484675	780.442159	5696.14133
10	300.807942	0	-180.093652	-143.168457	-209.152317	-181.027212	108.930589	128200.781
12	299.94549	0	-198.991035	93.4711719	-228.191036	-52.8317544	21453.1068	6150.94692
14	296.039286	0	-158.561647	675.198291	-115.821145	-166.661647	3386.2349	95732.8155
16	297.291179	0	-163.629147	438.072054	-192.61183	-165.591154	24866.9109	55138558.8
18	300.340305	0	-130.620558	-130.536737	-132.727841	-130.286829	189.124733	17587.899
20	300.779954	0	-177.495157	-84.8658772	-163.828877	-141.323923	-135.395159	2842.06597
22	291.78432	0	-236.39578	-122.724267	-203.821826	-196.866694	-194.295781	21849.724
24	296.208354	0	-191.667362	-120.291306	-184.570681	-138.16058	-149.567362	119.615398
26	296.087368	0	-136.120588	-46.1943734	-85.1993407	-144.220588	6584.08922	2485.53867
28	291.464042	0	-208.297267	2444.87793	-194.377169	-169.618087	-166.197269	39642.542
30	294.307388	0	-230.798241	6019.52952	-166.700392	-182.122029	-188.698242	417484.256
32	298.539096	0	-149.826196	593.436535	75.7168348	-157.926196	2240.71936	6435527.82
34	297.784312	0	-158.047214	-37.7824728	-142.156399	-123.959785	-115.947215	8217.36687
36	300.327769	0	-153.849625	354.782172	-182.91713	-154.627553	261.111509	1422551.67
38	290.963964	0	-171.183707	57.5993857	-100.647999	-179.283707	20523.689	370425.437
40	298.877938	0	-112.111348	154.970708	-141.145906	-113.423203	1584324.62	560.925598
42	298.979989	0	-174.653807	-155.200778	-203.846519	-167.956135	2398.8625	298080.677
44	296.676381	0	-171.534169	-115.210764	-198.446765	-178.379812	635.868964	81466.0649
46	299.699884	0	-147.586744	-36.436549	-176.786223	-134.709517	185.989734	15720.1526
48	299.324589	0	-180.819224	-76.1841412	-143.579284	-188.919224	15470.1614	37518287800.0
50	293.891042	0	-290.94495	534.476876	-287.382863	-247.380715	-248.844947	1889939080.0
52	296.368298	0	-142.040009	165.416725	-171.201468	-139.805163	30.5799289	353234322.0
54	291.799407	0	-179.409712	-146.510598	-208.586757	-175.898307	4108.1185	1277.32066
56	295.458466	0	-178.195431	2453.09723	-159.490629	-186.295431	3966.90354	644.794605
58	292.20464	0	-150.01006	-106.770007	32.4423073	-158.11006	695.920386	853.648746
60	294.211809	0	-178.051911	959.646043	-207.250265	-168.022166	9065.27829	15974.2495
62	295.098587	0	-173.715737	100.115913	-176.969245	-181.815667	146.57722	219414.069
64	297.156159	0	-247.39666	1705.30695	-252.67359	-219.851506	-205.296502	31929.4719
66	296.646264	0	-197.763923	33.8380344	-124.130919	-205.863923	44616.3244	3014763740.0
68	302.53031	0	-175.402708	128.195746	-204.601028	-165.424706	248.262808	1289738900.0
70	294.304241	0	-186.807197	172817.285	-216.007197	-157.427081	1245.96636	86581.3924
72	300.320534	0	-146.900787	45.3843174	-103.28559	-155.000787	336729.635	68800.5006
74	298.741349	0	-188.240498	-32.7946176	-179.309886	-196.340498	10102.247	4443.36708
76	299.646244	0	-200.275581	-25.0438978	-229.474713	-188.661797	9.18170973	38297.3857
78	296.389514	0	-182.982912	5002.63386	-212.179527	-174.73929	24.8307105	4350599450000.0
80	300.461647	0	-211.186054	355.958737	-240.384298	-201.317399	79.6587814	32525.4224
82	300.515719	0	-124.098587	2249.16012	-118.354243	-132.198585	4486.15725	8933.01481
84	299.42698	0	-211.450023	418.593181	-240.650024	-38.8343978	1342.48829	50265388900.0
86	294.462209	0	-172.686037	39.0372944	-201.878238	-166.50791	1175.30804	154089.743
88	297.98655	0	-136.247029	376.216306	-163.363425	-142.948565	454.967397	2514.27693
90	296.130058	0	-158.463049	-73.2129636	-187.60835	-157.087626	200.831548	76796.1484
92	294.171782	0	-195.457409	-195.457409	-102.443555	-158.74546	7337.36387	63976.771
94	298.776848	0	-226.713492	4803.80842	-213.819658	-181.953666	-184.613493	57900.8422
96	301.585321	0	-183.91971	-133.495023	-175.471762	-142.483576	-141.819711	5577.38413
98	295.377145	0	-97.6383955	291.33773	-126.838396	-36.6129915	493.784856	34615.671
100	299.707209	0	-173.960393	-112.60416	-203.13933	-170.237156	3742.58224	18793.0226
102	307.58105	0	-209.341152	69.3255699	-238.536242	-202.018173	213.97439	9555972630.0
104	295.052381	0	-150.050386	289.473051	-17.3569935	-158.150387	8938.80364	1309210230.0
106	293.872138	0	-143.00442	2341.14233	-150.115734	-151.104088	285.754486	3859801.68
108	299.074092	0	-177.160516	1.419476	-155.697685	-185.260516	4401.10307	125072370.0
110	296.12722	0	-178.86616	2624.08362	-43.030135	-186.96616	8003376.27	12064.6577
112	294.016616	0	-170.709063	1734.65901	-92.3845097	-178.809063	151036.485	2226.91513
114	297.113884	0	-185.513829	197.823107	-201.112574	-193.603575	108786684.0	17247.8993
116	301.906634	0	-151.524601	-122.914876	-153.804972	-120.723372	-109.42453	30239.8986
118	296.036056	0	-156.990263	7357.76961	-143.509497	-126.313598	-114.890264	32085.2985
120	298.73556	0	-95.8964745	13369.4651	70.187039	-103.996475	5057.46907	404904201.0
122	295.505788	0	-202.542589	-202.542589	740.769077	-138.80924	9134.60736	6613007480.0
124	302.496726	0	-182.22732	1270.33953	-211.389907	-179.919401	4020.84231	9100139610.0
126	298.649537	0	-123.19531	-23.029512	-121.056722	-131.295303	3620.61318	315230486.0
128	299.872612	0	-173.952298	305.527775	-113.490819	-182.052299	5990.922	7179.40911
130	295.722504	0	-164.649179	-121.400126	-193.844371	-157.274382	181.248466	3.96390494e+24
132	297.976544	0	-159.900341	277.605703	-145.193475	-120.08487	-117.800342	940.054462
134	293.235493	0	-144.992608	38560.4886	-136.418398	-113.9184	-102.892609	15905.8907
136	297.883405	0	-215.827397	3494802.0	-154.514419	-177.702956	-173.727398	72783.4618
138	301.011284	0	-209.774771	1294.46409	-199.806779	-175.48245	-167.674772	4277.7827
140	299.993284	0	-160.13042	6040.04742	-175.207676	-168.222115	35301.7041	4149.90518
142	295.624256	0	-265.416213	-112.452116	-234.99173	-218.311494	-223.316215	70868087.7
144	300.703926	0	-184.252642	-84.6663056	-213.355449	-184.28037	204.710766	4587.15156
146	300.897492	0	-227.138488	-177.27306	-193.191383	-187.82698	-185.038489	4833.02337
148	298.800108	0	-181.377167	-88.9030616	-176.413671	-148.162839	-139.277166	9775.52169
150	294.507982	0	-257.127817	6214.31238	-251.374726	-220.687107	-215.027817	61037683200.0
152	302.055424	0	-102.162156	24712.1797	-131.120786	-104.372427	194.014059	377507.27
154	292.576348	0	-143.969889	353138.411	57.8908059	-152.069889	1154.88963	611872.437
156	299.155123	0	-229.048555	526743.442	-258.161737	-228.801756	69.8647284	22780369.1
158	297.606708	0	-212.776532	20203.4081	-241.973487	-204.27084	19731.3344	1486214.91
160	294.98105	0	-220.983643	4118.13756	-249.853359	-223.92737	190.037806	40881.2448
162	294.337878	0	-276.726337	302.625938	-243.495623	-231.058063	-234.626338	136976.611
164	297.020561	0	-217.569172	250.052086	-246.768015	-206.667624	2320.47121	54480.3246
166	294.467654	0	-192.812493	5904.66773	-142.803383	-200.912493	3257.60239	118255.868
168	297.646428	0	-176.367361	-137.880567	-37.8851568	-184.467361	2801.73793	1246781.21
170	298.940596	0	-212.139926	18.1760445	-195.813753	-175.190972	-170.039927	219980.853
172	296.355621	0	-140.349026	1632.77326	-169.517088	-137.651817	1641.35781	2489.50621
174	297.243562	0	-206.626683	103.488794	-197.122412	-214.726683	2337.17316	4191.25214
176	296.117336	0	-185.619983	53.5823323	-214.783335	-183.261251	96.6692035	18018.3601
178	296.577146	0	-138.975442	1894.68192	-162.435606	-146.81821	304.250915	3750.14807
180	296.431402	0	-243.83473	201.46436	-273.028143	-237.238809	447.970299	6473386.32
182	295.393455	0	-160.202585	40.5682652	-189.263774	-161.092771	1776.91157	11385513200.0
184	302.265557	0	-129.346178	58.1977881	-158.02495	-133.327592	1244.7004	326934526000.0
186	299.516896	0	-138.603263	247.327767	-167.76897	-136.081183	637.22056	77853378400.0
188	299.453065	0	-172.816622	-111.286967	-175.269543	-148.984382	-130.716567	2379.45012
190	294.742572	0	-188.918022	63582.3262	-165.998969	-197.018022	456898.721	34943.7208
192	301.288562	0	-158.565476	371.989929	-187.745915	-154.659725	669.072499	2953535870.0
194	303.329501	0	-176.54668	-88.1898978	-183.176245	-184.646407	1204.83705	47937.9791
196	295.153317	0	-205.634794	-205.634794	4211.696	-142.473299	10360.1971	50409723300.0
198	295.607155	0	-177.012351	3649.53259	-206.191611	-173.251095	364.265438	889912378.0
200	298.856587	0	-248.891029	71.6229984	-278.086536	-241.348081	769.353811	2042753550.0
202	299.383889	0	-194.671478	-40.4404295	-223.870585	-183.128296	482.049034	8306.03941
204	297.921543	0	-180.000423	-26.4957884	-209.017935	-181.54682	1105.03308	74191382600000.0
206	302.35828	0	-233.403036	-40.4050013	-262.598418	-225.927988	572.707515	963549538000000.0
208	293.272611	0	-234.192397	391.530419	-199.875415	-210.986745	-192.09239	23833.7657
210	303.967792	0	-165.607674	3030.67067	-139.795384	-173.707674	22095.9526	8289.3752
212	299.725767	0	-192.326803	-152.497819	-221.520737	-185.526952	1852.68299	4186247740000.0
214	303.010289	0	-144.055914	-93.2009892	-173.141075	-144.488245	40952.7261	98.6686035
216	291.056607	0	-150.85702	99.4560662	-179.499989	-154.985783	520.153761	13556.6368
218	295.966566	0	-170.519484	252.264424	-199.590372	-171.234993	324229.309	20751341600.0
220	299.003725	0	-169.975842	-169.975842	41.6652838	-132.215924	1812.2136	686126.809
222	295.883644	0	-108.474042	96.2881703	-100.552658	-116.574042	472.475003	621.640637
224	302.080064	0	-229.458665	366.424595	-112.5218	-237.558666	129084.507	3121131450.0
226	292.507256	0	-167.382566	14754.9352	-196.582567	-130.79124	518.023976	1574.66711
228	302.825918	0	-181.716691	-152.473566	-210.827434	-181.536776	165.597563	117409.372
230	296.243737	0	-193.539729	907.781881	-134.879539	-165.304508	-151.439729	51031.9669
232	299.950464	0	-157.427749	34557.818	-186.581819	-155.623752	1820.19491	15549.7288
234	295.970755	0	-181.735378	2009.67315	-172.66255	-148.473546	-139.635379	663.947792
236	295.969475	0	-202.661644	941.251289	-220.789098	-210.733084	3640.99388	2339304310.0
238	294.914894	0	-192.707869	-163.615475	-220.917089	-198.057816	340.367739	18464.4056
240	301.132845	0	-179.185592	511.540332	-208.371666	-174.440948	354.045553	784.519747
242	300.39501	0	-173.282696	2184.16278	-200.847691	-179.580011	1073.06679	151310.691
244	295.905962	0	-173.308215	95113.7125	-117.812307	-181.408215	23286.8762	428.91153
246	294.125683	0	-196.140303	-132.074103	-225.336925	-187.891591	2451.37019	36946938.1
248	296.795146	0	-211.350124	-159.775562	-240.549193	-199.911063	7048.03165	2050.9575
250	297.587431	0	-211.659062	-105.474176	-234.183223	-219.585673	779.717567	179803.842
252	293.639886	0	-164.583787	17.5659563	-158.003413	-172.683786	27090.0155	238842.97
254	295.939728	0	-136.189383	1597.53266	-165.378106	-130.923218	1145.20391	62407251.2
256	293.899978	0	-225.599587	-128.674258	-160.127414	-202.752142	-183.499579	38758.3191
258	301.853315	0	-230.467621	-48.1687145	-158.712482	-193.974422	-188.367622	103069974000000.0
260	293.759493	0	-98.7743726	427.463794	66.4812885	-106.874373	2109.10318	7807.53762
262	292.056664	0	-157.610104	37.2558224	-113.520834	-165.710105	597.218907	55249.4696
264	295.729107	0	-120.561767	482340.697	-51.3659853	-128.661767	46957.1341	41266.2399
266	299.476831	0	-184.41886	-33.1201496	-213.597369	-180.74523	34.0904117	3312.52262
268	294.300449	0	-192.406409	14173.429	-179.403278	-154.396088	-150.30641	22593.7298
