time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	299.369208	0	-179.145326	143.53324	-171.641614	-8.28803455	11089.3419	31792953.0
2	298.526834	0	-221.934661	-221.934661	599.067782	222.580466	31366.5661	2198097.38
4	299.003105	0	-265.378025	-265.378025	526.737581	326.874438	276916.056	761894.62
6	300.610666	0	-203.584238	94.671601	-198.783907	-32.544723	51292.5375	542960.453
8	291.221185	0	-233.969656	-233.969656	4780108.28	8648113.14	865672.71	308015.436
10	297.873205	0	-212.181665	8116.99822	-213.011658	-9.62721612	5628.61046	6392.86347
12	295.474309	0	-199.131634	349.497165	10273.1675	1702.00614	-180.011633	-11.1955091
14	302.125301	0	-189.562427	17.1440593	-190.392419	12.6663442	496.101106	32361561400.0
16	298.392191	0	-235.137818	-235.137818	1669.35522	191.163911	97434455.4	752.78101
18	298.752004	0	-225.59417	-208.005906	-226.42212	-19.3510301	1264.82379	4899.01236
20	297.570499	0	-232.631196	640.324152	-151.122874	10.3645949	-213.511195	476.913413
22	296.344485	0	-233.523084	2195.71801	-193.259434	12.0213042	-214.403083	3591.42059
24	301.205008	0	-255.782785	-153.297075	-233.339891	-35.9116673	-236.662578	29.8756582
26	295.099316	0	-238.303729	-82.6703172	-239.133729	-24.4552838	1839.13857	9354.98307
28	297.380844	0	-315.797064	-258.763833	-250.274743	-64.5207742	-296.677063	709.289629
30	301.590143	0	-210.778913	-210.778913	129096.205	1558.83236	78962.7449	232.276459
32	299.405432	0	-216.463276	-216.463276	1383.65455	747.491672	279726633.0	3456.13582
34	298.287197	0	-182.623185	-182.623185	11814.949	1871.29905	616912.638	2980.43388
36	296.810566	0	-238.516195	-238.515495	215.236579	-47.4981207	840126.224	2389.85389
38	295.404214	0	-186.847757	-186.847757	3414.71321	666.56005	5394595.36	1617.82128
40	294.880017	0	-216.854847	-216.854847	27703.9067	55577.2706	12170884.6	12924.6181
42	300.783108	0	-182.325224	-182.325224	8229.23128	486.218072	244138.546	1017.19512
44	295.489132	0	-294.066179	-294.066179	923345.812	6867340.49	946264938.0	608451.383
46	293.690384	0	-234.100963	-234.100963	260122.649	25567.429	34295647.8	37734.6533
48	304.46923	0	-176.087544	-89.7808435	-51.2310915	-5.31753964	3066.54891	83416209900.0
50	298.876604	0	-194.719135	1473384.42	185.542708	-23.9491311	144359.055	6730162810.0
52	304.125946	0	-201.188842	-85.4607442	-202.018842	8.70641785	165.90589	65452714500.0
54	294.899717	0	-254.463156	4184.11643	-199.628196	-83.6931515	194.413434	90992215.5
56	298.15502	0	-206.055749	-159.45075	-206.885745	-2.74706546	1572.98251	30476399900.0
58	297.691942	0	-194.075957	-194.075957	1699.53562	219.05403	4959735.51	1792109480.0
60	302.046421	0	-226.886864	-113.104248	-227.716864	-4.89912696	108800.318	123118.001
62	299.876377	0	-248.179721	-248.179721	36933.1845	24897.6388	6633890.12	114295452.0
64	294.160509	0	-173.484672	-84.1660642	114.564173	-2.71466733	3619.66013	171782910000.0
66	291.223852	0	-206.379849	-128.01859	-207.20865	-16.6947763	1169.33937	61254423.4
68	300.274201	0	-244.221122	1408556.04	-210.425537	-73.4511151	13987.574	14317803.7
70	302.497625	0	-222.081751	932.886858	-206.223635	5.87246807	-202.958805	185.931663
72	297.717188	0	-171.438812	-171.438812	802.895511	115.806865	821508.284	2298.94182
74	300.694435	0	-206.084566	5160.44165	-143.519902	-35.3145613	16997.9802	688.352747
76	297.25485	0	-192.644584	525.124313	-193.47061	-5.92760272	2221.47204	2385.92544
78	296.958727	0	-170.456439	-170.456439	1424.84799	109.336667	196520.928	178141370.0
80	295.682276	0	-241.708989	-241.708989	3535.33972	11.6014739	47576224.0	1513753000.0
82	293.8267	0	-276.612886	2269.69374	-251.489995	-60.0341632	-257.492815	11105.8096
84	299.842232	0	-203.719542	2633.78942	-10.6977043	-32.9495375	8989.79102	1946121.62
86	297.25723	0	-235.077964	-178.948378	-207.713459	-14.3300989	-215.957935	4175.48977
88	299.89782	0	-169.499714	-169.499714	297.020225	56.1187288	2715.94901	862658209000.0
90	297.965427	0	-248.152088	-129.839994	-248.982088	-34.8872688	120.516533	26225.7728
92	298.521183	0	-220.057121	-150.223192	-220.887107	-19.2608073	2253.01818	14443.9347
94	295.920485	0	-230.312849	-121.860912	-80.0686414	-59.542845	10501.8726	166299.006
96	297.793103	0	-266.8645	-32.8221119	-233.833588	-25.2632144	-247.744496	-40.2354434
98	296.637901	0	-209.567588	-209.567588	12.6228423	25.9314321	120274.117	51381.7577
100	301.597666	0	-224.429272	-224.429272	409.432457	151.163624	59282.3352	21279.5304
102	296.545914	0	-195.464767	106.167451	-163.853841	-24.6947573	148.049767	407372777.0
104	302.540591	0	-167.130845	225.820049	-167.96084	36.5832659	14891.5489	6227.84472
106	292.485394	0	-209.108401	-78.4240742	-116.454288	-38.3383972	5267.71767	3654.39803
108	292.104386	0	-249.023635	-150.602698	-3.97059972	-78.2536308	26198.5936	147126.276
110	299.62243	0	-193.184246	-134.987492	43.0175299	-22.4142416	1712.01535	636404.696
112	295.498472	0	-170.591131	-170.591131	1577993.42	551118.083	5205215.3	237606423.0
114	301.823006	0	-209.153628	-209.153628	4832.19792	12759.6963	2388905.25	27160177300000.0
116	298.027049	0	-265.348746	-250.656673	-266.172145	-57.5748711	571.480891	-171.668298
118	295.625134	0	-180.271107	-110.277764	-181.101105	25.5670931	453.779217	1061.20575
120	301.617991	0	-271.259407	16010.1987	-37.8703388	2469.83166	-252.139406	1521.21828
122	301.537071	0	-216.99785	-216.99785	341.336451	15976.5572	20916074.7	566.672004
124	299.390761	0	-141.238103	-141.237873	-107.817581	52.5636689	819.81538	18488840600.0
126	294.753671	0	-350.694182	-8.32564762	-297.396708	-114.445961	-331.574181	1728489.88
128	293.712218	0	-181.277352	153437.285	574.658135	-10.5073479	9062.6734	5744824920.0
130	298.310655	0	-270.652969	257.4863	-271.482969	-21.7014722	5784.3917	1159.44093
132	298.469786	0	-179.35157	451.411844	-180.181569	29.8195671	153.067694	2295.07492
134	296.294125	0	-200.209279	-111.000491	-143.121464	-29.4392746	3495.94062	2156.72806
136	293.81916	0	-291.783694	10025.2288	-225.557779	-37.7827042	-272.663694	104154.156
138	296.634354	0	-233.136255	-171.914207	-181.236486	-62.366251	4235.95255	147705.737
140	300.161637	0	-166.708674	-106.955783	143.159995	4.06133024	23936.5131	373.143912
142	301.870358	0	-145.157716	5736.56635	-83.1175094	25.6122878	9295.24406	201939.971
144	300.822786	0	-190.904273	-157.125776	-191.73427	19.2283281	2114.39034	22651.9201
146	296.781657	0	-245.134136	2958.30462	-46.0119335	-74.3641313	196113.347	561057466.0
148	304.778723	0	-202.262602	-202.262602	6568.74231	40.9854624	5746213.46	50593.7101
150	300.762374	0	-232.255586	30134.4562	-233.085586	92.9736911	1038.50087	8947.02826
152	299.297962	0	-309.078973	381126.387	23.5052617	176.952235	-289.958972	45773.1853
154	300.575163	0	-280.895956	23503.8885	-217.168508	-64.5212769	-261.775955	30840.2462
156	296.205434	0	-219.839458	-166.359475	-126.227237	-49.0694537	10841.0587	2496406970.0
158	297.608491	0	-216.541023	43.8842907	-217.369792	-26.922112	1598.0676	534744745000.0
160	295.888078	0	-199.896659	-150.327263	-200.726616	-1.96299441	1230.00966	193679627000.0
162	298.887445	0	-254.867837	-179.877254	-255.697837	-29.0795168	4939.02911	9.68583605
164	298.043202	0	-196.635679	-196.635679	548.097847	58.3017493	3846.08971	77673566.8
166	294.268935	0	-168.978409	-152.210618	-169.805376	25.3998627	4556.53191	198602408000000.0
168	295.131543	0	-187.487165	-147.990511	-188.31617	2.66041365	280.843962	3885455490.0
170	293.213111	0	-223.150184	324.305393	-157.63581	25.3338966	-204.030183	191400.705
172	304.520175	0	-209.926077	-138.242147	-105.954606	-39.1560724	847.974654	16210.7559
174	302.113113	0	-284.98518	9265.02414	-144.646816	-9.79165142	-265.865179	289804.274
176	297.520518	0	-181.587682	-181.587682	9541.91038	27179.7394	2026471.75	55724579600000.0
178	296.017743	0	-213.741902	1610.96129	-203.182483	-42.9467836	8536.62577	1249.55802
180	296.557752	0	-232.342509	7426324.59	-233.172506	-27.7194668	1454.6839	63785.521
182	292.003889	0	-246.21479	-134.541751	-247.044788	-41.2201544	71.1770344	268.422894
184	296.417723	0	-224.405558	-135.784059	-225.235387	-29.9087796	47.3534261	2161860.78
186	296.190041	0	-243.840669	-78.9205168	-211.363401	-19.3472659	-224.720665	-103.81794
188	297.596446	0	-187.16609	-187.16609	9165.99689	3877.89068	20255275.2	662719.838
190	295.981364	0	-207.300881	5044.24868	-208.130881	70.3027893	67749.816	11055486300.0
192	301.016943	0	-251.42397	-99.649184	-208.449096	-37.780149	-232.303969	3105071.36
194	294.395067	0	-262.704298	-205.765942	-202.674955	-25.4452988	-243.584297	1341.54592
196	296.337487	0	-195.061646	1259697.96	-166.946267	-24.2916209	3588.93408	10652711.9
198	295.422875	0	-172.952241	-150.836971	-173.781912	43.9379074	1776.30661	2233024.24
200	303.755311	0	-200.905239	693.27099	-133.176805	-30.1352351	580.935496	10442435.9
202	291.346874	0	-213.917055	-114.716698	-189.500904	8.17294694	-194.796961	1704.23827
204	295.75643	0	-241.5463	-63.7473385	-242.376299	-1.41149937	82.5064578	319.505518
206	298.710017	0	-238.139841	-238.139841	12546.1043	25636.4035	285236145.0	4871.32176
208	292.715005	0	-188.16483	2458.9703	-188.99483	23.1350562	340.200131	77646741.0
210	303.976203	0	-176.540873	2848232.92	56.3428535	-5.77086898	22614.6952	2482747480.0
212	296.317605	0	-214.556224	-181.110647	-180.095282	7.80098205	-195.436218	10836.0225
214	295.834547	0	-247.854706	348.604282	400.876482	420.513636	-228.734705	4877.48906
216	299.167283	0	-224.541581	-71.33484	-183.806337	48.1279926	-205.42158	244.154038
218	292.309139	0	-227.989998	101814.35	-173.120876	-17.3976132	-208.869997	7801569.87
220	297.525766	0	-267.737269	-267.737269	1038958.04	50297.3684	7369737410.0	794349.576
222	296.358553	0	-210.187625	-151.782543	943.25794	33.7824489	-191.067624	2187.50216
224	298.933945	0	-190.673198	24149241.6	-191.503198	32.0871876	944.193887	182889082000.0
226	291.042031	0	-176.05093	-176.05093	170852.798	36714036.9	83778367.4	619072.745
228	293.487574	0	-225.044057	-131.537044	-225.874057	-14.4004112	3778.99262	212.505059
230	298.052411	0	-210.992131	-210.992131	264944.138	4380.97825	2206344.51	6919.51601
232	298.22667	0	-192.811675	-192.811675	414.415712	82.7002839	228797537.0	969997557.0
234	302.478296	0	-229.658146	-175.165006	-230.488146	-3.46291937	-155.962084	691.087254
236	293.89664	0	-255.604466	-189.139445	-256.434466	-23.0991385	8898.93647	188.131138
238	298.156	0	-199.971729	-199.971729	2364.96405	25.5715968	7459.7321	11506324.6
240	298.087993	0	-190.040763	167724.34	-190.870723	8.10873761	541.291355	334875.426
242	297.213604	0	-230.232455	22.0881734	-172.710519	6.97577618	-211.112455	520.309814
244	298.025282	0	-219.760216	2107.84889	-220.590111	-24.0614151	11290.0885	37558192.0
246	303.248323	0	-273.56767	-95.6926916	-224.724391	-24.1778179	-254.447669	696.855362
248	300.768292	0	-215.70112	2406.29577	-196.16498	-44.9304487	16904.7653	2217.71792
250	295.442705	0	-253.230974	-217.477475	59.0111578	-30.8433968	-234.110972	1426.57367
252	298.378452	0	-269.480548	32990.5673	-270.282815	-87.5655685	24052.4688	8659.09485
254	297.739312	0	-216.808623	1296.77265	-217.638622	70.0975313	3068.10849	6029217040.0
256	298.725083	0	-222.116947	826.793857	-222.946947	-1.77086256	5361.76281	345253322.0
258	297.671383	0	-204.455724	-96.1554378	-76.7591618	-33.6857193	24414.5165	3083.67828
260	299.541109	0	-204.441743	-141.750908	49.8157035	-33.671739	107184.734	109299196.0
262	295.239963	0	-217.732596	-124.643024	-170.589231	0.262187449	-198.612595	47299676000000.0
264	300.299765	0	-219.292987	2692.7783	-94.9053266	-48.5229828	6153.71742	403635.262
266	300.118358	0	-235.28473	-207.832359	-154.414736	-64.5146872	277066.838	6724.32063
268	296.961735	0	-182.874277	39199.0185	-183.703698	8.61598355	7798.01616	18474076800.0
270	295.199637	0	-252.898078	871.897924	-253.728078	-36.3994781	488.262659	948.559721
272	298.787104	0	-188.523458	171628.0	183.228134	-17.7534535	1869.25463	321150624000000.0
274	299.60699	0	-215.23881	26125677.5	-216.068809	-8.80571269	-81.2229956	14366.3684
276	298.306423	0	-232.701365	-182.419978	-233.531359	-29.6993326	221.695685	216.164234
278	297.159358	0	-194.226833	-47.4198462	-195.056831	11.3854094	206.793653	40223.6323
280	300.668191	0	-206.360953	-97.4682023	-207.190935	-6.18765552	1455.56945	24268.8854
282	295.717012	0	-219.389009	-198.029748	-220.218562	16.839251	443.199662	12062.3568
284	297.379484	0	-269.281923	-32.2897834	-270.111914	-67.3043531	5540.40834	672.506898
286	298.007514	0	-108.151059	2351.0977	-21.2420677	62.6189458	149408.18	18628.9697
288	294.605356	0	-272.845654	-272.845654	-18.4394984	-34.8551731	665.741042	4652039.24
290	293.964807	0	-279.838408	258.54281	-193.869583	-51.9673443	-260.718407	7397.42699
292	305.909832	0	-203.87195	-203.87195	508.760344	32.4509511	75322.2423	140541022.0
294	297.678922	0	-229.815977	-49.5428325	-185.899486	25.1379304	-210.695976	19306.6647
296	294.026437	0	-200.018873	6247693.39	2.45083486	9.44759707	-180.898872	11571.7171
298	295.702807	0	-191.836056	168.496629	-192.666056	80.2227781	3057.03858	1027.72755
300	291.604531	0	-186.542318	117389.33	-134.391036	-15.7723135	11545.907	86986252000.0
302	298.550218	0	-240.0705	-183.745521	-198.716657	5.10655267	-220.950499	707556361000000.0
304	289.793447	0	-225.047263	1078.26709	-105.491206	15.4950001	-205.927262	92800.3693
306	299.424422	0	-172.373882	147.441838	-98.8377205	-1.60387776	3308.79423	2988.93655
308	295.866238	0	-199.203773	-144.79432	-200.03372	-1.7965127	265.439847	48437.1691
310	296.890757	0	-181.719148	-21.4729974	-123.900254	-10.9491438	14090.2125	33770.8164
312	301.961578	0	-256.629985	-217.275124	-257.459985	-46.7958812	20360.035	788.343755
314	300.756132	0	-230.14002	7608.74645	-230.97002	-8.86608879	476.976557	148786117.0
316	301.274253	0	-275.393677	353.812504	-223.491768	47.0410189	-256.273676	849.421361
318	296.256627	0	-237.243286	-237.227749	-125.522461	-53.8987808	37099.4601	33230.3712
320	298.777486	0	-201.401477	21884.0559	-202.229545	-12.898778	84601.6145	34951.2866
322	297.664979	0	-244.078325	-147.455854	-244.908325	-26.772648	6818.90847	2933.64645
324	301.397526	0	-277.076319	-212.597166	-28.4219371	-58.2823964	-257.956318	56.8906499
326	303.809991	0	-208.275319	-109.941537	-209.105267	-10.8175978	948.479473	5234284810.0
328	295.59353	0	-225.402678	1056.25865	-167.67191	16.8587449	-206.282677	71891942100.0
330	299.128943	0	-265.868293	359.616819	-266.698275	-65.7634986	1150.83472	-9.96905277
332	301.69625	0	-164.454159	397064.095	-62.0846692	6.31584525	429.396342	479743.059
334	297.356256	0	-181.278677	16.317379	-84.5366006	-10.5086731	1727.35397	8812772.5
336	297.070792	0	-234.778886	-234.778886	1655385.24	12642002.2	136574550.0	73091.9534
338	298.993119	0	-215.427562	-215.427562	184690412.0	64269.2764	9747794.7	674.41892
340	295.729832	0	-233.200693	-233.200693	4574.26693	65.9736327	659169.573	20231.3559
342	294.642057	0	-248.622416	417.475482	5101.65372	-16.3432598	-229.502415	508883991000.0
344	291.958257	0	-176.147707	-137.168623	-120.332819	29.9884031	-157.027704	603.008195
346	298.998657	0	-209.807436	17607.8516	221.952393	169.329316	-190.687435	461374.815
348	294.535026	0	-226.973992	-226.973992	-176.379097	2.18433672	60180.0578	8635.67861
350	294.823036	0	-246.605244	5470697.9	-247.435243	-39.4110329	2309.20167	86299.1062
352	301.798282	0	-270.584708	359.66754	-123.921634	136.21533	-251.464708	245.537302
354	300.164873	0	-267.424218	8593.38876	101.888429	-96.6542139	43177.0576	323978.36
356	291.351585	0	-219.544191	1776.10938	844.469841	19.312814	-200.42419	2331449040.0
358	297.241062	0	-195.946085	-45.8841026	-22.792984	-25.1760802	77559.6255	3530.16723
360	295.824105	0	-162.456772	17.4480071	-142.778946	8.31386257	11763.0688	321.726479
362	295.676633	0	-223.573426	-169.699264	-180.732457	-19.6043431	-204.453422	29038403.1
