time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5
0	305.385834	0	-162.914085	-162.914085	3.00123692	-129.86352	20446.8322	5168.7538
2	297.507214	0	-163.648315	4646.11088	-119.194597	-171.748316	13803.6307	151817.552
4	298.337378	0	-147.358311	20685.0358	-152.568268	-155.458157	15711.7304	14180.2484
6	297.031051	0	-273.963453	1001.66563	-239.643533	-226.269628	-231.863454	93574.7273
8	297.026414	0	-180.850332	-4.38052813	-210.048414	-171.200547	376.342491	26841.8661
10	296.056482	0	-193.425834	28.2889115	-222.624153	-183.450806	207.810879	19035850600.0
12	294.386694	0	-213.008191	-213.008191	5332.45782	-81.3069825	97415.3926	89558.6616
14	302.551625	0	-221.365054	-180.87484	-214.785052	-198.492829	-179.265045	7272.06402
16	289.504841	0	-210.184329	570.895539	-239.382769	-200.024091	335.354566	20295.6873
18	299.087148	0	-232.492652	-151.246466	-172.352345	-192.009185	-190.392654	58468.8704
20	295.60531	0	-112.218934	80.0649863	-140.652725	-117.037736	3153.17629	22082.6358
22	297.861485	0	-175.675756	889.788311	16.2388126	-183.775757	3760.4065	416.574107
24	290.625355	0	-187.527154	742.684691	-96.7057193	-195.627154	14847.5296	12865.3007
26	298.377469	0	-197.998063	-42.7443382	-198.969738	-206.098035	1797.45378	2.71687678e+17
28	297.706519	0	-160.47171	185.609628	-84.7520416	-168.57171	13536.4123	5587311760.0
30	299.021376	0	-202.242802	-119.011789	-231.442802	-174.384606	8232.53148	2525.38017
32	301.322111	0	-177.380693	1297.73598	-172.013773	-140.370911	-135.280693	7378919320.0
34	300.658273	0	-199.167625	-31.680538	-228.367614	-176.889694	616.892136	264788886.0
36	300.837279	0	-199.622036	25.918253	-182.482354	-161.614087	-157.522038	274386090000.0
38	298.473464	0	-258.239826	165.260369	79.88226	-214.583813	-216.139828	333818239.0
40	299.174899	0	-202.254071	-202.254071	3139.7036	-116.911562	155.440248	22382.2148
42	301.681194	0	-201.236301	-201.236301	559.587905	840.178826	41238.6857	155277.013
44	297.610975	0	-220.294518	12072918.4	-63.4541268	-228.394518	8385.34757	875102.813
46	302.135038	0	-212.541789	4355.17989	-241.681202	-211.416704	5087.74336	10884.1422
48	295.954931	0	-195.360348	1912.40587	-224.540817	-191.450794	-22.123206	5216.85215
50	294.800893	0	-165.170985	-165.170976	3274.39853	-142.210265	6492.74722	578851790000.0
52	295.70431	0	-185.283673	4033.97455	-85.2920188	-193.383673	11291.3603	15206.3655
54	298.485878	0	-203.340053	-203.339668	58.2963553	-189.711237	4.39042157	31080410.2
56	298.406865	0	-163.584256	1869.67861	-192.777245	-157.142931	888.317363	198230.623
58	294.710617	0	-212.335817	1381.73228	-241.535806	-190.104594	2113.77119	11990588900.0
60	295.618049	0	-190.036443	2448.80588	-219.23006	-183.363065	18427.4772	83084.0741
62	294.303814	0	-233.797098	-137.335415	-165.915346	-195.701534	-191.697099	31654.7042
64	303.243058	0	-217.526824	-217.526824	21239.8462	-36.9070323	1380.41685	1622191460000.0
66	291.834247	0	-153.74677	93.6935631	7.22499237	-161.84677	4994.09686	58688634.1
68	299.015504	0	-179.869798	-145.003632	-186.980621	-156.925085	-137.769455	4689.41221
70	304.349538	0	-180.230521	-34.9674104	83.9308575	-188.330521	5389.45508	53310758.4
72	299.545333	0	-249.048031	254.001254	-230.23655	-203.742527	-206.948032	7810.40646
74	297.460313	0	-255.118324	-158.475072	-238.464902	-213.602278	-213.018326	74589.4373
76	293.638397	0	-192.037134	2672.78588	29.0768557	-200.137134	7743.01353	9228.13015
78	299.426629	0	-189.445828	18886.9276	-218.645828	-93.9454292	7553.76578	104932.245
80	298.377248	0	-166.702107	233.903795	-100.315365	-174.802108	27856.534	20438.4211
82	294.273012	0	-166.298024	7209763.48	44.8921041	-174.398024	746300.728	18053.9811
84	297.008855	0	-231.93327	454.277493	-242.027278	-222.21102	-189.830297	10171.0631
86	299.152745	0	-170.827946	90.2616092	-195.381368	-178.515623	22562.6717	2412748700000.0
88	295.810354	0	-226.884066	2138.04764	-195.650776	-180.510921	-184.784067	9529.16804
90	294.867677	0	-241.251028	-137.339331	-236.767664	-208.30444	-199.151027	160202.972
92	294.212732	0	-225.739276	-162.038445	-208.105542	-181.55385	-183.639277	13944.336
94	292.665403	0	-239.362946	139.340671	-227.711239	-200.117975	-197.262947	138361.832
96	298.122836	0	-176.299411	-128.559748	-177.137974	-184.399385	3381.80863	60533.4446
98	298.584452	0	-203.350294	300.773486	-162.409962	-211.450294	23598.9221	9595.02055
100	301.156537	0	-184.427853	-161.07327	-213.626876	-172.542894	-25.6298788	1631330920.0
102	302.146873	0	-162.971103	-120.962916	-192.169609	-152.702904	281.282861	75801789400000.0
104	296.57166	0	-245.558166	132.964092	-228.861567	-215.387225	-203.458167	12353.3243
106	297.793014	0	-208.637604	956.711379	-237.825949	-203.452802	302.616622	520.465304
108	293.257457	0	-154.174371	-154.174371	8107278.12	1749279.47	5527255.25	10300002.6
110	302.347871	0	-253.271037	-119.46861	-223.354489	-210.520161	-211.171039	9679.5227
112	299.337362	0	-176.272296	-176.272296	53369.503	3555.95515	228194798000.0	76799.8482
114	295.43658	0	-171.858577	195446.229	-201.020548	-169.590857	178816.192	458765.442
116	301.037229	0	-206.720946	-206.720946	43810.6746	-52.0882739	1464.33078	4082.20632
118	301.822681	0	-189.92175	-189.92175	127913.015	15377.9104	927755.924	5413.999
120	301.940284	0	-148.103139	-148.103139	953.108143	-109.364906	4311557.87	202584.373
122	297.358261	0	-191.767369	-191.767369	18106286.2	5460162.96	4125248.77	33412.7589
124	298.493362	0	-196.248288	-196.248288	788285.867	32623.2042	160715.22	24289.2564
126	292.800217	0	-174.797803	51603.3846	-179.805342	-182.897661	1938.68821	304995.671
128	296.735039	0	-93.5077978	512.856513	-83.0565275	-101.607798	20278.2704	79241.2328
130	296.079719	0	-211.260925	56.8440259	-199.98531	-172.350948	-169.160927	3041.50194
132	295.843553	0	-249.228952	-65.3163499	-231.097364	-209.037088	-207.128954	2539.85585
134	297.452314	0	-204.523604	1387.45424	-186.884146	-161.938265	-162.423605	7907.86849
136	298.276692	0	-200.580627	12401.818	-219.435037	-208.642253	1956.84488	10144.8019
