time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	299.140143	0	-658.203951	-509.75856	688.212714	-394.39717	44078.6271	-440.649127	-338.815154	1454.041	-546.951714	-535.019022	-391.569952	-619.752654	-369.58185	9554.28149
2	298.393661	0	-789.066838	-668.397522	673.738714	287.788088	27001.698	-342.944111	-521.285378	608993.772	-364.680302	-574.166178	-615.934624	-750.616807	4050.33094	1891.69797
4	295.755151	0	-742.306585	-285.016859	-298.778224	-355.909564	32329462.2	-562.974634	-327.260468	582.918391	-115.578055	10929.7625	-537.078663	-703.856585	-199.121406	27589.1342
6	298.429455	0	-669.15543	108.501134	5785.79309	8148.84731	22500.4111	5215.49048	21475.5959	192210.938	-406.826991	43044377100.0	-150.958297	-630.70543	26547.661	2264.73244
8	296.948174	0	-659.939349	-659.938753	-86.0838617	815.048393	12032166.4	-437.209286	-315.6706	5485.22508	-540.935948	4.92930436	-461.369526	-600.595745	3547.63939	11590.2809
10	295.977966	0	-675.989659	-675.989659	-2.3009859	16516.9491	883.9784	3652.16613	-344.559485	2124.42231	-135.652823	17421.6427	-250.529248	19912.889	22096.5645	312441.018
12	298.315199	0	-735.196034	10195.8357	-652.026004	85596.1761	8672.90161	31677.2807	-420.330262	10394.6146	-614.733069	15246.15	-573.539752	-650.747632	319159.934	144047.406
14	297.439614	0	-786.059278	-555.110858	2046.06392	-288.719577	58829.6233	-722.079278	-301.864041	96103.6772	-619.724468	26580.756	-462.873649	-80.2778459	16136.6586	25550619.6
16	306.095585	0	-637.595112	-485.945103	21918.743	-436.165119	108823.535	-347.275399	-353.335344	-185.136643	-338.438584	-467.001486	-407.19009	-546.480555	561.639878	-472.658017
18	298.538269	0	-629.658072	-30.3021739	6468328.12	2031.53602	3116730.1	-565.678073	-231.906873	290710.481	-35.9638779	1228.50727	-245.614983	-515.362277	-1.85748008	443280.61
20	300.950311	0	-799.394841	12971082.4	-716.224843	118581.701	53508.7946	300209802.0	1184771550.0	193650418.0	132467.568	3554824920.0	4655.201	269438.994	3592096.58	12710.6174
22	297.92006	0	-794.696441	-126.259889	-711.526443	12223.8284	2635.72385	254138.526	9799.23587	2433546240.0	855.03377	2950058.26	588.201759	9029.25003	49581.1029	85509.6326
24	297.140882	0	-659.800542	-659.800542	7946.7337	1591.52006	1312.18029	-320.178073	-372.289336	16211.1427	-509.673169	7177.89978	-500.426614	-578.72905	372742.365	4041.45404
26	298.728555	0	-712.514285	-648.317614	86023.2854	-233.554739	879.809745	367.547001	-472.694277	1025.8418	-393.466787	945776.366	-227.324295	-455.586274	372.774863	194.300266
28	302.980955	0	-721.126197	-598.674803	211199.16	-379.635455	747.586979	-508.633198	-437.477866	1356.4594	-592.043831	-619.676398	-428.847145	-682.676196	1034.0859	3810.23082
30	298.13933	0	-673.367305	-585.047263	1718.67117	-388.575994	17521.7541	-309.390844	-302.349038	7295.32661	-526.694017	956.245675	-400.010052	-519.806517	-628.227306	772.035757
32	299.699113	0	-764.433379	1324.0005	349.632668	1826.77913	90634.0829	-375.974133	-524.613371	738.440735	-443.526876	2397.86716	556.479722	-318.782206	36.1074561	312120.198
34	303.790344	0	-645.893817	3388.53558	194.556072	14422.502	724837.792	2265.74504	-406.073809	4710.92597	-492.333343	448.947288	634.27496	-355.897942	99868.3138	2820466760000.0
36	296.358943	0	-721.371428	-328.290938	3545.31796	58605.9149	11049.0162	2172.79272	-225.076766	4184010.98	2767.5174	49568.0898	-617.551428	24154.2674	16583.9691	3694.48011
38	297.013019	0	-652.493421	-224.834501	72924.2613	-291.201958	1048357.19	493.008583	2041.28014	20184.5782	-400.470654	96.2623324	-191.393258	-614.04342	1378.10904	5672156.34
40	303.873423	0	-685.266686	-503.343897	8216.30713	575.758484	405324.445	-621.28591	-310.17774	-322.674703	-572.745838	1564.34509	-460.969372	-571.002519	721.157218	1128.44089
42	296.809429	0	-668.170907	92.2784442	-38.5969959	3278.14364	946721.444	-604.190908	287.780752	45939.3187	-387.889515	20619.2498	112.933119	1962.03621	79566453800000.0	10652564.4
44	299.423472	0	-676.241446	-560.791365	-593.071448	57366.0299	87772.174	-452.816963	-9.44718355	86292.8443	1498.29618	27275.3852	971.503296	452.850245	315.077433	17915.2589
46	295.821277	0	-682.013473	-446.162974	276.719123	-379.006285	32143.6238	-618.033473	-56.3282445	-146.496381	-338.231454	38012.846	-438.185609	-72.3265755	-381.87352	637052.436
48	295.376204	0	-692.021395	-589.011302	13634.2178	-305.815359	24734.5835	-521.856491	-200.806432	702.516491	-288.068296	99.9800665	-455.079724	104.099331	-646.881396	3270304.33
50	300.249935	0	-691.425939	-270.759179	-536.479754	145.917915	1525.08653	2200.75651	-373.852854	2677.89392	-527.633135	-338.992197	-406.346102	-405.613893	-646.285939	74329.3249
52	301.286722	0	-667.328709	-493.245632	3625.43206	7263.53417	7188.00911	-481.347774	-347.625882	1286.40398	-495.090448	-530.01187	-563.50871	-447.062499	2817.0439	13904.2436
54	296.106402	0	-780.873851	-677.467339	1322.77001	2970.33471	70756.8734	-648.653279	14878.3433	2342505.69	-515.738826	4382.94566	-569.685205	-742.42385	3867.46569	10019809.7
56	293.978306	0	-681.292403	125635503.0	75283.6972	266.122755	48563.1762	15003977.2	21384.9231	-782.122405	-367.899518	148872.077	1760.91447	-105.367497	155.591783	29549643.3
