time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
68	295.885487	0	-682.574189	-633.409645	28213.8898	52991.9281	9262.68677	6841.44684	-414.678473	-642.592377	-561.245939	5046.39704	-455.975788	-644.124136	1299705.38	471642.827
70	294.567176	0	-677.777657	-677.777657	-152.816175	1216867940000.0	4649.47579	30439.437	302.952753	203295.344	125984.496	54422.3184	2987.26117	1915.89306	119587340.0	1669.71869
72	300.392598	0	-633.294622	-633.294592	748889.78	22306.2487	3113.40139	2083.52249	-330.498867	-55.7266496	-512.698716	-384.273751	-470.394431	-177.227798	11132869.1	4309631.89
74	297.218317	0	-690.502469	-690.502376	-55.4038203	-225.767422	4503.67538	-382.775424	-376.989808	-346.627068	-572.720751	-377.00598	-519.438069	-607.909305	264.90281	24824.2788
76	298.406462	0	-645.913592	-189.50333	127700.829	-393.424939	35943.6128	-437.468449	-354.133379	202738.296	-494.334753	-31.8555666	-416.285278	-502.261318	-600.773592	4360489.15
78	300.604192	0	-711.753826	-303.21207	36131.669	900840.877	36062.4739	10734.8268	4405.25838	15162.8106	-619.223828	317307.319	-137.379435	-91.8708983	13593710.4	6384326.39
80	296.751938	0	-587.996398	-258.749964	34774764.6	-341.7539	3631.45274	-382.379062	-309.224886	-613.930576	-373.275653	-242.905256	-322.222782	-549.546397	-334.251332	10769.4827
82	296.546738	0	-612.58496	-568.036845	13757.3198	1096.35212	57036.6188	-499.744975	-343.325836	-582.64391	-508.036249	-596.576682	-470.665047	-574.115483	651.348585	323.613439
84	298.320349	0	-682.134244	2728.5587	2515.53491	-187.494626	44518.9451	-618.154245	587.694015	2675324.53	-503.864975	1445.7412	-429.807083	-427.798615	399.114961	14591961.8
86	298.763268	0	-731.106887	-605.333622	143.731231	-322.582388	393.05129	-667.126888	-244.353546	257.524354	-445.449501	1499.38753	-513.259999	-568.786559	-244.72908	88297.7314
88	301.018605	0	-650.976314	373.519199	-567.806316	1139.67974	170313.778	11901912.5	-182.705196	60240.446	-469.529423	3179812.25	787.37939	1989.3246	668.251778	284457.014
90	300.288971	0	-690.473938	-300.020063	2929.41192	-46.0469594	50662.2378	-441.632911	-450.653931	-617.396004	-281.658901	2.41607182	-486.057987	-561.568021	-170.660369	18842.2805
92	300.279209	0	-713.623141	6106.42253	1929.81452	36353.6185	9554.95123	-353.752121	-473.803133	-676.617128	-58.5328834	9447.91139	3713.40949	-490.544411	-121.122703	3089.29481
94	300.016424	0	-642.923973	4411622.25	-360.499135	501.454045	40586.8521	-578.943974	-318.313626	-686.173434	-108.825941	-430.728672	-414.6514	-30.1139665	1161.46147	55604.0378
96	302.255832	0	-670.51497	10660658.8	-587.344972	301064752.0	32224514900.0	168912600.0	12713.076	348428.904	133.500666	14139654.0	18387.01	32001.6507	8862881.88	25229889.1
98	296.297566	0	-666.212198	-400.959992	166542824.0	-280.493186	1368509.23	-602.232197	-348.25223	5276.28558	-538.239603	21.7537311	-503.412529	6545.09582	-376.498866	608441.485
100	296.261847	0	-610.945009	2918.05669	-527.775011	2843.13305	17230.2426	2103.75934	1057.10897	-452.39337	204.790074	690.793725	-210.677336	4468.36179	3739.32866	2182837150.0
102	298.261145	0	-802.025869	-495.640929	-646.326608	15432872.6	4508.59513	-738.045869	96.4091994	2683.08141	-573.844832	5582.68931	-602.672686	-257.373254	183.135526	69813.6295
104	295.511367	0	-699.875477	3670.92995	-616.705479	1533.56976	28537.4981	-30.9654182	398.782455	1662.07575	-481.047723	9632.33259	-134.970555	532.138089	76335.1158	593146.301
106	294.579438	0	-762.924305	1546.47615	2186.59682	-408.646613	1176.50637	-698.944305	-409.399197	144312.569	-627.18795	-316.789975	-479.004027	-642.988315	515.587195	-322.067516
