time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
106	294.21727	0	-1967.06325	67404.9732	11798.4529	69666.2326	733625198.0	-2218.78325	181819183000.0	20478.3642
108	295.971167	0	-1937.08066	611355973.0	-1754.44308	81468.3615	4568773320.0	-2188.80066	456240745.0	289622.933
110	293.522513	0	-1987.79663	-1987.79663	29358.2146	12280.3438	14060730600.0	9651.30712	47386196.9	87126.5366
112	295.065494	0	-2014.59045	247292.721	21589.5893	-1921.80859	7704466.99	-2266.31045	17432163.7	308192.59
114	295.253337	0	-1956.36563	94648.7973	68715.2495	-1224.42015	28996833300.0	-2208.08563	338877637.0	19602.9359
116	295.988774	0	-2027.49782	2595603360000.0	2118023.83	628.05035	1647136.68	5314178.99	66619.381	-1901.78783
118	299.149646	0	-2038.19987	2042518900.0	-2140.30987	-1747.43336	81074.223	3566545.57	56295.0043	261507032.0
120	303.956889	0	-1940.40961	-364.635533	9382.78746	356.00749	1807.6763	-2192.12961	99843023300.0	7887.35106
122	294.117099	0	-2019.28313	9441.30528	10170.6174	-1462.86406	5258374.25	3872.30683	200739037000.0	-1893.57313
124	292.374622	0	-2010.47015	20527396.1	30703.3586	154495.584	35334891.6	1118765.75	16236659.8	-1884.76015
126	298.520862	0	-2021.36111	-2021.36111	-1463.60482	-1933.29414	84014626.4	3882.94532	4900622.98	5639.6325
128	301.997721	0	-1979.43192	9920.13763	4427304.2	137747.643	100148272.0	-2231.15192	54389.0084	58306.1652
130	303.604466	0	-1998.07472	112046.934	6841061.27	1640275.72	20322502.8	581150597.0	-1998.89472	702598.015
132	292.365521	0	-2042.81623	-898.916963	6235.18738	-1342.05475	11752.2493	1036433.45	-2043.63623	3020.8698
134	296.490215	0	-1985.78739	2808686.33	386994.364	2971.63915	202805.195	278176.466	30129.9875	-1860.07739
136	300.310451	0	-1945.84764	-1945.84764	12735.9422	744.334721	127404392.0	4674.42541	119214.643	144780.94
138	300.136179	0	-1954.49444	7149516.71	18625.9869	521904861.0	1126660.98	30970.0251	2937052.93	-1828.78444
140	297.266515	0	-1895.54789	167368.055	89191.2967	12196324.3	369772397.0	-2147.26789	60717.7057	77122.8957
142	300.830244	0	-1988.6707	-1988.6707	199808.932	646417.178	4080820.85	12377974400.0	70105.6366	298524.043
144	297.614298	0	-1997.78237	1070.74235	3086334.06	3053.13521	997029.443	6674471.5	-1998.60237	14304.7818
146	298.101531	0	-1954.13286	3968494.87	-207.840749	342.449212	20122.628	1072256.18	327320.079	-1828.42286
148	300.091978	0	-1982.00687	29087.3438	-2084.11688	84762640.3	5186987.6	-1303.49024	13606324.1	234293.128
150	295.179333	0	-1928.60456	1197823.81	-2030.71456	2740.10626	1111866.48	-430.617845	700209180.0	40174.3989
152	293.265275	0	-2039.01804	9241.99291	-2141.12804	873.53745	9868.28694	-1590.83447	275753.009	36795.3959
154	294.924891	0	-1914.46067	17249.0578	-959.343632	-1398.67649	515509266.0	7878780580.0	-1915.28067	182556.518
156	300.159303	0	-1959.86292	9864.59068	5883061310.0	-89.3655711	5024227920.0	1551193.81	-1960.68292	607273.694
158	299.125616	0	-2005.18477	285.461426	17633.1851	284301.956	1275005.94	4277.58932	-2006.00478	-1179.7222
160	297.76394	0	-2044.77974	56927.9398	-1437.34093	3031.90513	7853203.94	17047077.8	-2045.59974	25314.2019
162	302.315103	0	-2064.27756	111998.842	2609.98052	798788.494	66405000.4	3779.91423	1972265.85	-1938.56756
164	292.810192	0	-1992.88618	-1343.98242	-2094.99618	595.327324	1517388.69	786.016234	24748.8626	9472.79829
166	296.141036	0	-1996.65371	40429.5274	229856.11	-1517.62553	942031.024	718978869.0	-1997.47371	-269.586979
168	298.923301	0	-2009.81236	4266.94071	18174.5367	3917.46344	2164526820.0	11198250.4	-2010.63236	204937.563
170	291.634889	0	-2024.69032	2514.59021	-1806.3135	2541.84331	10121138100.0	919509187.0	-2025.51031	509602.666
172	299.430368	0	-2020.82468	281.960754	34055619800.0	37224.5895	3769102.73	251348233.0	-2021.64468	12106.7199
174	298.321059	0	-1986.23053	2410262.67	54336.726	17875.6869	204009.037	651113.893	631030.933	-1860.52053
176	294.114737	0	-2018.6771	94753.9312	8005.7468	-1052.12503	1608934.96	230878.987	-2019.49709	2001796640.0
178	300.42265	0	-2036.7891	9966593.2	208011.303	-1809.76924	520018679.0	176885.719	-2037.6091	11261.9295
180	296.433707	0	-1994.7608	477958.305	16403.5031	5939143.73	5897656.62	1100028.05	-1995.5808	20492631.1
182	299.973571	0	-1975.01876	3823197.83	-2077.12876	27606.3089	8699.64439	7518.95659	392142.082	9161.14404
184	298.296916	0	-1979.74257	-1979.74257	-1780.30736	-1348.86739	3426662880.0	10694396.3	729765.847	14872.9608
186	294.000615	0	-1962.63235	-1121.58193	12211.5759	1855589.71	14447.3985	1348.46583	-1963.45235	121672.962
188	300.848515	0	-1903.0789	62615.3555	-2005.1889	5066.67411	1293018.69	78480.1221	848645858.0	156113.569
190	303.790379	0	-1950.44908	-1950.44908	4166384.94	-1306.19432	-317.716798	738625.888	1576040060.0	79668.2986
192	298.228437	0	-1905.48545	-861.191366	344151.392	-1378.52494	720023.218	1544.05245	35837.0633	-1779.77545
194	296.58342	0	-1983.58233	-1983.58233	-24.0820171	9885.10366	-576.816638	5114.80816	3785.60269	182612.681
196	302.042934	0	-2015.50846	42115.8089	-2117.61846	14838.8757	1258307.39	12291023.8	9685433.99	208482053.0
198	293.599512	0	-1961.62487	497232266.0	4357.84869	21560080.7	353711.469	21151.3093	256892.112	-1835.91487
200	296.114962	0	-2034.15012	7433.89553	100945469.0	526533.717	1322721.93	20471971.9	-2034.97012	751676.008
202	294.429469	0	-2011.24914	-2011.24914	414899.359	155229.056	42793.3279	69150.8117	62923852.9	224290.478
204	299.440395	0	-1931.25569	184658.003	-2033.36569	111142.461	167497986.0	70242.1159	52289.0701	67192.44
206	300.223675	0	-2017.83419	-2017.83419	20843.1673	1581.60908	5545584.62	5947.9361	134119518.0	51632.6607
208	297.601931	0	-1949.604	101872.898	51272710.3	32047.2209	124797328.0	-2201.324	1466265080.0	205063352.0
210	299.684762	0	-2006.81895	302244.466	10430.1636	550951393.0	8638922.89	21279.445	3899392990000000.0	-1881.10895
212	301.903108	0	-1934.59679	160785.602	-2036.70679	-1902.74604	30368063.3	6802651.16	965781113.0	215366844.0
214	296.394739	0	-1955.09849	-1955.09849	-1705.07623	-1666.31193	211426630.0	-798.070148	16060.7798	1391.29086
216	301.527301	0	-1936.57728	7441.18658	-2038.68728	38417525.3	34743941500.0	1709393.31	70175.6249	229750.019
218	295.339143	0	-1888.45521	250423045000000.0	-1990.56521	69399.7207	162733.743	10859350.2	-441.56706	2098054.79
220	296.908764	0	-1997.40493	-1997.40493	61717.4259	10116.338	931.678102	807.68129	16449.4552	4633380.89
