time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	289.541553	0	-1959.10427	-1959.10427	-467.601848	-1384.27227	-118.926901	896.990147	4575322.4	9208.66618
2	298.181279	0	-2046.57801	-1645.96282	-2029.90195	-1841.54478	-1186.68214	-2027.66951	-2035.94801	-1318.40981
4	293.959521	0	-1875.24542	2043717910.0	-1952.48542	517.997266	377.037285	9577.0882	604078.742	2290.8685
6	289.609483	0	-2036.39664	2344.81453	686601.341	17980.8419	62773.7753	483.729048	-2025.76664	-874.509417
8	296.619756	0	-1933.01926	24342.7852	236621.546	-1499.07145	16558.1704	-1695.52318	7950.45047	-1772.39927
10	296.702779	0	-1917.38477	2474.28921	1624.73732	588.926444	2483649.46	-2138.46477	8822.45838	-147.897408
12	298.516139	0	-1814.62837	-34.3320299	-1891.86837	23981.9421	1428.28139	1428.76173	3373.23459	-1177.24656
14	295.587291	0	-1926.40578	14598.601	18370.2578	-807.321505	18892.237	3443175160.0	-1915.77578	364220.537
16	300.840984	0	-1973.57895	1674.81356	41008.4653	4563611.53	25658.6894	622409.873	-1962.94895	44643.1596
18	297.858231	0	-1884.69967	-1701.66062	-1961.93967	-1643.7295	2834056.98	1173.63016	119625373.0	-413.908781
20	303.535441	0	-1987.70842	18480.2527	3743.2032	33945.9892	13141.1958	4274.99079	-1977.07842	61295.9866
22	299.117986	0	-1897.85138	25208.1185	769706.652	3365.70514	44978.6923	-2118.93138	16464.6187	37485083.0
24	293.95108	0	-1835.49946	4818.24629	47509.5194	-1751.92946	221006723.0	265942.057	1538465.63	119474.301
26	296.304934	0	-1891.33027	16686568.7	-1968.57027	-1663.04827	925.205118	157819.159	46720.5262	-1154.05193
28	300.605568	0	-1954.70336	87936.4491	85843.5948	12927.8189	161613.925	-2175.78336	4619382.45	571096.94
30	297.553845	0	-1951.39682	-1061.68378	91115.2018	236323.607	29273130000.0	6621662.88	437772.923	-1790.77683
32	297.376666	0	-1834.7564	6097.68084	4904.26554	693.023286	13338.4133	-2055.8364	179644.055	178577.713
34	299.684534	0	-1859.96769	9970.2976	-1937.20769	-1154.77738	3757.44938	7000.42022	13250.7547	7440.64953
36	293.641569	0	-1901.454	-1473.90917	11288.6749	-1596.61411	722.432727	-2122.534	3288444.02	81321.3103
38	297.750504	0	-1937.53602	4187.28748	2626.01631	2737.18546	-1707.41602	843609.612	487898.104	9499.74828
40	294.450326	0	-1914.36688	12992.8991	12730.0944	11328.995	205344.016	-2135.44688	33695.9886	40111.0518
42	295.191507	0	-1941.19526	74766.4773	125.329538	3051.05834	-1711.07526	2501.39109	238649374.0	872632.595
44	297.06496	0	-1994.93386	-498.946974	-1815.4491	-111.543856	-1764.81387	5456.4863	3083354.38	142142.266
46	303.110954	0	-1833.57377	358412.445	-942.361947	545.442142	2444.13872	11268.6415	13459613.1	-1672.95378
48	302.104928	0	-1913.45552	-1240.09542	-1990.69552	6116.31812	219866.468	197.354946	57072.8369	4241.44166
50	297.634555	0	-1943.72779	-1740.25093	-663.084188	2730.60693	-1713.6078	148738.068	3655728610.0	180437.196
52	297.155336	0	-1858.71382	793.015365	2071.87796	-1469.33118	-1628.59382	466.5386	21896.2428	239607193.0
54	300.745021	0	-1912.5224	307.232424	-1217.95206	-1253.10283	10099.1298	-2133.6024	6735126330.0	-115.466886
56	297.851359	0	-1867.63144	-1656.98407	-1944.87143	15471.406	15865219.9	8294.09115	5489.52622	3229.01585
58	296.142226	0	-1951.16032	-364.019086	28647.4356	658367.043	148799.07	-2172.24032	1329849.44	1319724.37
60	301.37911	0	-1904.491	6681.67184	2890.02196	-1028.90672	302510955000.0	-1677.24914	-1893.86099	46867.1988
62	293.949358	0	-1935.05527	-1060.82692	163932.196	71437.7123	-1704.93528	1639107.25	159741119.0	43003179.8
64	301.682198	0	-1949.53517	-1534.75473	-1811.33439	-1558.19357	32980.4495	-2170.61517	4377140480.0	7593.80622
66	300.934981	0	-1887.78637	233500.642	-1965.02637	-1649.93859	1604418.19	-500.283551	5030558.96	355082.765
68	294.44098	0	-1974.56314	141582.473	-2051.80313	-1496.67763	14166.0713	3092.27291	476487.525	1216666060.0
70	299.941276	0	-1930.71108	11887.1477	-1057.79677	-1320.67267	-1700.59109	-1295.53923	238514.979	4494.19086
72	301.879936	0	-1989.17794	-1555.03763	29540.9528	-1472.20248	-1759.05794	-464.309851	2721531.26	-779.100261
74	295.329978	0	-1914.78763	-783.903265	-610.94961	-1436.84883	-1684.66764	3142.3181	841394.466	1115.35724
76	297.769321	0	-1807.69606	1495.85744	-1884.93606	-1480.59667	10190.3758	-1577.12038	-523.519849	-1438.71305
78	294.06727	0	-1860.21557	3813.71936	-1937.45557	-1631.4067	-923.689794	1764.56486	30104684.2	3149.88544
80	295.747653	0	-1904.52311	-1904.52311	-1518.69709	29.8658854	8405335.6	45807.7675	226678802.0	2827.56841
82	300.892094	0	-1935.94843	-182.510316	-1653.52796	-1161.14805	11907120.5	-2157.02843	9759.87005	579636.052
84	294.457177	0	-1876.44725	23820.5922	2930.0867	-680.90334	2284721.74	27022.643	-1865.81725	11419.9057
86	299.193358	0	-1942.08662	294.861784	806434.61	364036.595	4211.43241	293478.824	1144534.0	-1781.46663
88	302.230188	0	-1887.73897	-1388.05546	369.424775	76157.2147	-1657.61897	2464.56602	279072191.0	7206692.68
90	300.548759	0	-1814.98578	-340.295396	-1892.22578	-1589.18857	410917.583	-1431.06671	1592351.93	-1454.73062
92	304.096675	0	-1918.06272	3580815310.0	-1412.37874	-1834.49272	14317.0555	-1938.3543	14189.9837	-1531.05166
94	295.3359	0	-1866.42075	-661.14741	825.061199	-1258.63479	-1636.30075	2404.33737	198133.427	9039.62897
96	295.81178	0	-1977.56675	22533.9562	7342.01825	4141.27604	31484.0913	-2198.64676	99173.3408	2225648.69
98	298.448258	0	-1893.54703	209.676524	-1970.78703	-1382.59337	637.410684	-1923.1038	263990.005	7547.34326
100	298.598525	0	-1979.57594	60772.516	-1793.38137	-1498.66429	-75.6081183	-1252.04918	847.984756	-1818.95595
102	294.905023	0	-1911.90956	913.703441	6281.49922	-1463.17051	7999.55969	-718.154412	496917.517	-1751.28956
104	300.544082	0	-1895.1193	6563.13723	857358.429	923.386993	556465.498	-1573.81059	-718.695001	-1734.49931
106	300.395561	0	-1884.46833	13008.3345	94.395511	-1800.89833	297.738148	-1087.40141	534.219305	-1525.30175
108	297.164114	0	-1956.71435	1539.86078	9298.61358	25580.1577	81756811.3	1173.31008	40177056900.0	-1796.09436
110	298.882865	0	-1944.73537	-413.245126	-1165.73374	-1861.16537	1787.15355	-1477.47021	1144660310000.0	1636.47643
