time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7
0	304.144868	0	-1959.10427	-1959.10427	-467.601848	-1384.27227	-118.926901	896.990147	4575322.4	9208.66618
2	300.305746	0	-1922.44593	11120.7116	33647.1276	16000.431	895942.857	311361.681	-1911.81593	15259929.4
4	303.492523	0	-1888.53716	-239.349438	-1793.99045	-1804.96716	9822.48147	-1424.93752	644530013.0	-787.59807
6	293.922181	0	-1854.68915	-1081.33432	-1665.92735	-1771.11915	154319.413	-1438.72904	7617024.1	-270.684136
8	297.9531	0	-1796.78539	1196.02796	-1874.02539	179327.554	8645.16583	-1326.20038	76985851.1	-514.406684
10	298.290212	0	-1825.78856	-1478.40472	-1709.72222	-1742.21856	1872.1104	-1411.69891	4578.65814	-660.477994
12	296.332284	0	-1778.25799	945.249062	15406222.6	-1694.68799	63877.0931	97264557.2	43669.4858	-1165.87088
14	296.605919	0	-1941.87749	-234.13997	7130.5229	24900.7105	64172903000.0	-2162.95749	788287.007	17026687.5
16	298.141183	0	-1836.13816	-1626.11337	-1677.11724	-1752.56816	23534219.9	-1082.89688	9429.19659	-1280.20614
18	297.841961	0	-1939.80317	999.613603	18113707.4	-964.321701	154710.123	-2160.88317	441859636.0	-812.902572
20	297.329893	0	-1892.46098	-1597.91884	766.199055	-1808.89098	262708.191	19888.4776	3042972840.0	9782167.34
22	295.476847	0	-1951.01491	-1300.83973	-1483.53007	-252.325823	61991.3265	-2172.09491	2347307.42	-380.959012
24	298.372051	0	-1902.35876	965.160405	-1600.87927	-1353.85295	-1672.23877	-1522.85797	21730.9274	5252.88106
26	298.893747	0	-1956.74764	45121.823	-59.3724731	2080.14155	102311.178	-2177.82764	2313817.61	185028.344
28	300.424374	0	-1852.62236	2421.64017	-1929.86236	331.458471	63513.7661	470360.245	125009.153	4603.4765
30	292.516999	0	-1926.4677	-649.405282	-1495.67945	63.5782407	-1696.3477	135810.614	61923.5947	958.385024
32	296.992649	0	-1898.7125	13653.0919	26583293.3	64294.5231	227515868.0	-2119.7925	1605293650.0	11018453.9
34	299.052785	0	-1868.78147	-1716.12639	-1531.28961	-1492.3626	-1638.66148	439.918857	2278.98869	1367.696
36	301.006015	0	-1866.84509	-1531.01924	-842.872177	-1783.27509	1607843.71	-745.994307	5513.1709	373411.876
38	294.228386	0	-1870.23791	219.561316	-1947.47791	-1260.10507	39494417.7	16210.1433	-941.794665	3610.15198
40	302.927018	0	-1873.97923	13391.8807	-1951.21922	-1372.17563	221145.421	-1341.53784	1946213.82	1407.91045
42	294.582311	0	-1850.88963	-925.85827	-1740.03101	-1767.31963	11026.4803	16625.8533	99496.2071	4959.82078
44	302.009226	0	-1992.42246	-982.677339	-1315.70505	3893.33311	-1762.30247	-492.449262	5482.50658	69920.8177
46	299.46376	0	-1864.12958	3707518.74	-1941.36958	-1493.56156	216188.596	1559.10308	2173183.98	-23.8037781
48	294.495359	0	-1916.21743	-1763.44901	-1993.45743	-1010.93396	12462.052	-1052.5581	11332.4487	9392.57749
50	304.515022	0	-1972.07002	290704.191	105.111724	14057.7121	59131.6048	-2193.15003	2836388.27	34383.0965
52	299.223495	0	-1889.13754	-352.02385	-203.271686	14606.962	-1659.01755	3595571.59	52606099.9	513005.412
54	297.171479	0	-1912.65545	-1701.38781	-1989.89544	-1563.22594	43749.7406	495470.596	2251872.05	7845175.87
56	294.458254	0	-1870.63707	9600.42278	40809.6852	-1787.06707	15691.7404	18850.4524	725736.672	12302.0232
58	294.993006	0	-1910.4587	991.176814	705.897737	1494.75755	-1680.3387	-667.932399	53289.7864	2442098.51
60	292.351321	0	-1873.40892	10973912.8	6826.81039	-1789.83892	157784.912	177088.606	2383723.02	5568.50519
62	295.611688	0	-1888.64004	-360.82249	-1965.88004	-217.964787	-796.405759	114433.997	159551545.0	5694.96177
64	305.202761	0	-1841.1105	26833.7638	1351.90483	-1757.5405	524124.309	27120.5456	246363.311	5429.31563
66	295.587189	0	-1884.62864	8938.82717	43890.1068	-15.7856174	1764742.25	-2105.70864	8288376.76	17758.8708
68	299.170433	0	-1902.38463	39590.8234	-1979.62462	427.251519	1945.97995	23345.6631	-982.686159	183306.174
70	303.463584	0	-1897.83248	38816.7047	-1975.07247	3186.05432	10447995.1	5992.52649	35457.2961	19668.5316
72	299.606547	0	-1995.92684	-966.346462	25636630.5	19444.6242	-1765.80684	998171960.0	157865904.0	6381212490.0
74	297.434407	0	-1970.93607	10571.1093	-1828.35039	10089.5526	213920.939	-2192.01608	17830.9722	119415.137
76	298.056191	0	-1815.66413	2157672.43	379303.286	-1732.09413	11727.5173	-1654.72523	462405604.0	48632.5545
78	296.851365	0	-1917.50189	13334.9116	1038.98437	-1706.5305	-1687.38189	-1863.82981	11310.4942	122.628753
80	298.416938	0	-1832.38263	-1191.28937	-1909.62263	-1596.8376	-391.924062	25821.1307	1053.19991	-834.003775
82	297.465913	0	-1942.15494	-1329.74293	3488.1331	181.549578	81566.5258	-2163.23494	158490069.0	2938921.33
84	299.373127	0	-2028.13709	-1759.42782	-1883.24063	-1736.90843	-1798.01709	-1923.98659	29311.181	1545.44562
86	295.72231	0	-1835.20656	-331.189169	-659.791064	-1751.63656	260204.295	10271.7034	115585.271	3482.70871
88	296.067938	0	-1935.51562	1916.17398	316883.064	137.366425	53761.3776	-2156.59562	679769674000000.0	27545.5205
90	299.576372	0	-1957.37883	-918.914617	-1668.91262	-1293.76416	-1727.25883	-130.696601	949410.654	10712.7343
92	299.86325	0	-1932.28717	-1625.29248	-1838.40819	-1848.71717	-1008.86006	2431.52903	6520.22578	-1357.46674
94	299.302969	0	-1906.38536	3808.69315	13532.4677	4970.55493	367892.993	-2127.46536	718616.096	67062.4286
96	293.366257	0	-1881.9549	316520.044	-834.454636	-1798.3849	27581900.7	1304.80703	2877824.91	-78.0990069
98	301.832984	0	-1875.16848	-1546.3486	-991.064666	-1791.59848	389814.473	-1287.53894	717138.343	-470.368132
100	295.492056	0	-2001.79263	3504.66555	6568.45861	-323.089494	-1771.67264	-373.722532	18533.7154	3778.15674
102	302.479636	0	-1874.1935	10860.801	-1951.4335	-1250.39693	18087.8103	-1484.54621	68921.0827	-894.721901
104	299.488087	0	-1862.89086	135883.596	-1940.13086	-702.767842	35660.1112	249612.42	362610.442	7609595.04
106	297.256127	0	-1889.45685	-1366.59196	-587.605619	-1805.88686	9782438.17	19431.7203	68782.3326	50486.2609
108	300.825766	0	-1962.82602	-1581.60006	2307.39972	256.982286	-1732.70602	521331.637	157689146.0	888.740955
110	303.206441	0	-1915.2922	188451.142	6553.60578	117569.55	-225.980849	-2136.3722	165400.506	3135.45212
112	297.236906	0	-1812.21748	-244.253808	-1889.45748	-1439.05155	1512117430.0	-806.830134	38485.0811	17867.1688
114	300.546274	0	-1880.98749	-1755.91359	-1958.22749	-1136.8084	195111.467	626.6305	4228974310000.0	-849.333477
116	294.971596	0	-1920.71081	42868923.4	-757.025541	-1640.10178	-1690.59082	23846.0581	1224115.39	4090.985
118	300.686917	0	-1887.54532	29172.3603	-1498.3777	-1614.00165	-1657.42532	1538.30741	42837.5915	-717.548698
