time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	311.075934	0	-499.054695	-499.054695	1431146.14	193681.527	48522.9327	393.316064	113576.15
2	301.2576	0	-422.572786	-422.572786	13339.879	43773110.5	64354977.2	4010555.36	115768036.0
4	298.730728	0	-476.136211	753.440453	11314.0829	14436.3818	198163.957	-176.413734	-595.88621
6	294.515944	0	-467.724537	51012.6126	752.845646	39428179600.0	226407.72	-324.76453	112784.049
8	295.346823	0	-443.620257	3806.77967	27389.9914	2038640.31	310401.132	-300.66025	-310.265477
10	294.851798	0	-475.465793	-304.698849	-353.515796	1483964.23	115307.81	1124.0225	57673032.1
12	299.903733	0	-449.776655	-77.9900447	2423.04099	527.005274	3576265.65	-132.491176	-569.526655
14	297.226287	0	-444.638739	-444.638739	2646993640000.0	31126.2777	8681941580.0	2771.18162	5499.46052
16	302.483537	0	-505.896193	-201.474418	603232.282	-642.816191	79664.5319	-14.979147	44753.4472
18	307.132506	0	-414.743805	-414.743805	6176.03692	3904171.59	239875282.0	653.805138	102202.529
20	295.003031	0	-495.316197	8761.94719	448.668319	223.166299	6425.83868	179.941595	-615.066198
22	299.793972	0	-490.78892	2043745.01	-1.81078941	210760061.0	-256.708918	-189.744642	5215.75976
24	297.404853	0	-443.859731	960794.659	3204.9799	6290.59078	218656.247	913.543828	-563.609731
26	299.746849	0	-477.266086	545.285866	441.454399	-65.1653251	16712.137	-334.30608	-358.619491
28	296.248705	0	-386.28806	7276.78305	304.690137	348.276657	7545119110.0	-120.600984	-506.03806
30	294.950868	0	-477.66871	37057.4069	88783.9299	1096978.44	-243.588708	-190.119476	927.307612
32	299.284642	0	-448.896979	35112.7817	2297.32261	4441029460.0	-214.816977	-102.547474	-327.834949
34	300.58906	0	-487.591358	21634.0808	1722.10912	-624.511356	113823.315	-240.809091	-410.17199
36	289.519919	0	-449.926649	-363.719742	4605.16474	118233.84	46584442.1	-306.966642	353.924121
38	300.272964	0	-452.519911	3345.78514	4639.14641	-589.439909	7276.18059	-27.9421766	-133.864435
40	299.9854	0	-461.201696	167708.184	-339.251699	1947000.93	694370.614	7826555160000.0	11671446.5
42	292.32019	0	-494.665301	2764.3381	-372.715304	127264.979	706121.606	1691.59154	51878.9606
44	298.935585	0	-463.26341	-339.10153	12707.2187	443.265244	570606892.0	-135.166127	-583.01341
46	297.330925	0	-427.150677	442105440.0	-305.20068	26868138.6	20684.73	35561.1313	97997.3818
48	296.718712	0	-446.687789	-446.687789	27728.3203	4774749.94	7029836.71	780.905632	88806.0787
50	292.360868	0	-448.733703	-448.733703	18052.748	2211154160.0	22798.2997	4192.18323	18187.3047
52	302.358609	0	-407.909375	680674.902	7926.64354	5751981.49	14478940.1	1984.64092	-527.659375
54	299.030343	0	-433.271662	-24.3798941	-311.321665	7762699.71	1323.77694	561.989811	27051.194
56	290.730491	0	-422.329461	-20.2390833	18.0201667	-559.249459	112306.536	-12.9223972	-323.842536
58	296.697263	0	-516.49511	1369.44767	3010.28001	2616.19406	2295302230000.0	-373.535103	191510.378
