time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
0	297.36072	63.3754607	-502.798467	-502.798467	2106.74599	919955767.0	174213.267	1500.77505	253818.101
2	299.157609	66.1142549	-464.148728	1356.23327	-341.988724	28631515.1	280631.757	1710.57838	4042.58039
4	295.995655	77.2885062	-462.506475	1818.64835	634.565064	84417270800.0	7870.24974	-319.806478	44.9246487
6	292.43897	52.5060284	-484.24973	8475.18414	-20.322606	775266690.0	-249.899724	35377.2636	5540.63726
8	294.97943	81.6914655	-490.765172	-490.765172	41345.9288	2043166.85	1350128.81	42.253483	66380781.3
10	296.308791	82.6999093	-393.568822	-393.568822	180259.283	3079976.69	108794.674	531482.586	195774274.0
12	300.875513	71.5682694	-412.557902	-412.557902	7853.17722	2154689.06	232145.534	507.942194	17136.3329
14	290.926796	79.7909887	-481.086821	782848.157	1002.66263	3404150.59	-246.736815	-36.709114	1166270.12
16	302.148592	69.9630075	-468.226264	1557.73346	1309.43807	6551.8306	1460034.1	222.371577	-588.096266
18	299.930739	70.8636911	-479.12819	385.397224	1670.5659	209605930.0	-244.778183	7085212.94	54783977.8
20	298.039195	65.1507585	-426.399947	-426.399947	10225.8972	8084.37512	5238.10607	22272.6627	1806399.61
22	296.728994	78.3905131	-455.232137	928.465333	49320.212	68628938.4	2753.91566	29.7396396	-575.10214
24	300.029162	71.1830318	-478.897332	-15.635074	-356.737328	94557949.9	98724.7391	-7.59877479	675.16044
26	301.740299	49.2623318	-484.812734	2836.7808	1620.85803	32257015000.0	84887.1894	-342.112737	677.866789
28	296.167691	75.9698908	-431.53585	-118.182255	5694.11164	1498.21023	-197.185844	672.471387	-41.085348
30	296.79891	65.2782356	-469.048596	37030.2868	-346.888592	43823208.5	3111073.45	464.408416	1049731.0
32	299.123346	87.9373336	-438.071387	2221.90478	1285.38512	1545860.84	-203.721381	19.0734578	24.1301739
34	295.649672	73.0720236	-449.250106	1391547.28	-327.090103	-58.9946787	551672.99	85.5080741	8320.43833
