time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6
48	298.538903	82.3756889	-499.10328	10320.4838	137727.093	74188.4292	-260.643273	-48.9647211	-137.005813
50	295.666702	78.8533907	-527.044846	591.769806	305.087802	106857307000.0	-288.584839	177769071.0	1394.21204
52	301.683329	83.3023863	-525.323554	-525.323554	6780.69944	3659385.37	257749.509	758.17162	846269.181
54	303.014931	62.9239755	-542.675041	134.959887	14479.7787	736285.825	-304.215034	1881.60702	17424586.9
56	298.769374	67.3897364	-542.371411	5917.45614	23893.445	117204686.0	-303.911405	9612.76546	83.6446052
58	302.693178	76.5871138	-533.702663	214.356743	914.130602	29501319.5	-295.242657	7147.94914	10046865.9
60	300.391458	83.3415463	-534.548516	-534.548516	3428000.28	675007.235	913582.532	15588228.5	310906.832
62	298.060731	77.7400219	-538.114421	-538.114421	584512641.0	336041.271	276582.586	42462.3453	123620.681
64	293.01484	59.1579315	-519.147856	147.230483	162.82412	428667.778	5045408.53	80.2242061	-626.527854
66	296.308715	63.0354559	-509.232681	-509.232681	23854.2536	1393370.65	242458.346	4062.9101	148675122.0
68	293.909712	78.5739793	-518.494709	1954.56619	-374.404712	1915517480.0	463069.793	40747.034	16617.5986
70	300.451048	81.4340148	-496.52875	-496.52875	39407.9519	74413530.4	9472276680.0	983.509849	241760.011
72	298.356658	63.2709562	-526.091577	981.381791	169.882076	10345.3567	290726.832	-88.430914	-633.471574
74	294.267685	70.4659133	-545.697555	-134.822516	-6.83403763	47524.2114	27764.3943	-399.847549	40141.1384
76	297.892871	73.2781164	-558.25394	16099679.5	151008296.0	30805878.2	-319.793933	176.537097	286.85327
78	293.500734	55.9185198	-557.1789	3391.28538	5951.26578	8054.03998	4429914650.0	-411.328893	4242.3559
80	296.640962	67.6104286	-530.001505	-530.001505	7778038.16	658703.353	26731129.5	53868.6388	10850.0068
82	293.82502	76.9490723	-501.530893	-501.530893	341617.916	26605797.0	1372645.16	2146.63877	10698.4781
84	293.672868	73.222454	-575.128986	513.591423	2322.48271	171351968.0	13119349.4	-429.27898	739.209231
